Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
MV-ACC-CIL + iCaRL-fallback,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966666323720554
MV-ACC-CIL + iCaRL-fallback,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,10,10,1800,0.7977777777777778,0.8833333333333333,0.7122222222222222,0.8833333333333333,0.1133333333333334,0.772489717550344
MV-ACC-CIL + iCaRL-fallback,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,11,11,2700,0.7411111111111112,0.7666666666666667,0.69,0.8488888888888889,0.14777777777777779,0.7099669007914546
MV-ACC-CIL + iCaRL-fallback,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,10,10,3600,0.5872222222222222,0.5477777777777778,0.7055555555555556,0.77,0.22666666666666668,0.5587856088725036
