Method,Discovery Module,Incremental Module,R1 Acc,R1 Forgetting,R2 Acc,R2 Forgetting,R3 Acc,R3 Forgetting,Avg Acc,Avg Forgetting
Deep-HDBSCAN + Ft-CNN,Deep embedding + HDBSCAN,Fine-tuning,0.3619047619047619,0.1166666666666667,0.25833333333333336,0.14523809523809522,0.17904761904761904,0.21190476190476193,0.2664285714285714,0.15793650793650796
Deep-HDBSCAN + LwF,Deep embedding + HDBSCAN,Knowledge distillation,0.35714285714285715,0.07380952380952382,0.24523809523809523,0.1642857142857143,0.17142857142857143,0.23095238095238096,0.2579365079365079,0.15634920634920638
Deep-HDBSCAN + iCaRL,Deep embedding + HDBSCAN,Exemplar replay + prototype classifier,0.3746031746031746,0.04761904761904756,0.32857142857142857,0.01904761904761898,0.2580952380952381,0.1071428571428571,0.32042328042328044,0.057936507936507876
Deep-HDBSCAN + EEIL,Deep embedding + HDBSCAN,Replay + distillation,0.35079365079365077,0.13333333333333336,0.25,0.15476190476190477,0.19142857142857142,0.18571428571428572,0.26407407407407407,0.15793650793650796
Deep-HDBSCAN + TPCIL-style,Deep embedding + HDBSCAN,Topology-aware prototype smoothing,0.3761904761904762,0.02619047619047621,0.33214285714285713,-0.004761904761904745,0.25523809523809526,0.09761904761904766,0.3211904761904762,0.03968253968253971
Deep-HDBSCAN + DOI-style,Deep embedding + HDBSCAN,DOI-inspired prototype preservation/alignment,0.3746031746031746,0.04761904761904756,0.32857142857142857,0.021428571428571352,0.2542857142857143,0.11666666666666664,0.31915343915343913,0.06190476190476185
MV-ACC-CIL,SupCon deep/RF graphs + adaptive fusion + HDBSCAN,Network replay + distillation,0.3888888888888889,0.17142857142857143,0.3119047619047619,0.18333333333333335,0.24571428571428572,0.2833333333333333,0.3155026455026455,0.2126984126984127
