Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Fusion,Alpha,Iter Merge Rounds,Iter Merge Total Merges,Iter Merge Threshold,Noise Before Reassignment,Noise Reassigned,Assignment Coverage,Assignment Score Mean,Assignment Score Min,No-cluster Fallback,Adaptive Split Count,Adaptive Split Size Factor,Adaptive Split Silhouette Threshold,Adaptive Split Silhouette Mean,MVACC Min Cluster Size,MVACC Min Cluster Ratio,MVACC Min Samples
MV-ACC-CIL discovery,R1,Day 2,10,2100,10,10,0,1.0,10,0.0,0.9427945933081806,0.9311541510712098,0.9676190476190476,0.9676190476190476,fixed_alpha,0.7,12,0,0.74,86,86,1.0,0.8030315637588501,0.6562390327453613,False,0,1.75,0.3,,94,0.045,5
MV-ACC-CIL discovery,R2,Day 3,10,2100,10,10,0,1.0,10,0.0,0.9258890047048208,0.8801201356428686,0.9323809523809524,0.9323809523809524,fixed_alpha,0.7,12,0,0.74,19,19,1.0,0.8636838793754578,0.7045760154724121,False,0,1.75,0.3,,94,0.045,5
MV-ACC-CIL discovery,R3,Day 4,10,2100,12,10,0,1.0,10,0.0,0.977715725358366,0.9762477598127296,0.9890476190476191,0.9890476190476191,fixed_alpha,0.7,12,2,0.74,34,34,1.0,0.9359601736068726,0.7865824103355408,False,0,1.75,0.3,,94,0.045,5
