Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Label-free Silhouette,Cluster Size Min,Cluster Size Median,Cluster Size Max,Cluster Size CV,Raw HDBSCAN Confidence Mean,Fusion,Alpha,Iter Merge Rounds,Iter Merge Total Merges,Iter Merge Threshold,Noise Before Reassignment,Noise Reassigned,Assignment Coverage,Assignment Score Mean,Assignment Score Min,No-cluster Fallback,Adaptive Split Count,Adaptive Split Size Factor,Adaptive Split Silhouette Threshold,Adaptive Split Silhouette Mean,MVACC Min Cluster Size,MVACC Min Cluster Ratio,MVACC Min Samples
MV-ACC-CIL discovery,R1,Day 2,10,3081,10,18,8,1.8,18,0.0,0.7883882089301576,0.5620986092571845,0.9156118143459916,0.5832521908471275,0.44247469305992126,107,166.5,272,0.2839979598450922,0.7609880913570187,fixed_alpha,0.7,12,0,0.74,186,186,1.0,0.7726300954818726,0.5980924963951111,False,8,1.5,0.2,0.35481705144047737,92,0.03,5
MV-ACC-CIL discovery,R2,Day 3,10,2911,11,12,2,1.2,12,0.0,0.7953346780747581,0.6700028406492374,0.8605290278254896,0.7636551013397458,0.27104029059410095,127,248.5,386,0.28387748255816597,0.656512955402459,fixed_alpha,0.7,12,1,0.74,820,820,1.0,0.731459379196167,0.4912151098251343,False,2,1.5,0.2,0.29023008793592453,87,0.03,5
MV-ACC-CIL discovery,R3,Day 4,10,2448,9,16,6,1.6,16,0.0,0.7688622546438778,0.5300706193295921,0.8766339869281046,0.6017156862745098,0.40363654494285583,85,160.5,232,0.2680635112257248,0.8964669648096002,fixed_alpha,0.7,12,0,0.74,92,92,1.0,0.7405295372009277,0.5894081592559814,False,7,1.5,0.2,0.3467127425330026,73,0.03,5
