dim1,dim2,operational_label,is_current_round
8.124814033508300781e+00,-4.539925098419189453e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.309790611267089844e+00,-4.820686340332031250e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.301209449768066406e+00,-4.875636577606201172e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.930975914001464844e+00,-4.357159614562988281e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.432003021240234375e+00,-4.474220752716064453e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.356866836547851562e+00,-5.024295330047607422e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.619939804077148438e+00,-4.698777675628662109e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.406449317932128906e+00,-5.054335117340087891e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.465715408325195312e+00,-5.089750289916992188e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.937712192535400391e+00,-4.393591880798339844e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.002408027648925781e+00,-4.404854297637939453e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.508818626403808594e+00,-5.032258510589599609e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.123456001281738281e+00,-4.570314407348632812e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.084296226501464844e+00,-4.577442646026611328e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.089303016662597656e+00,-4.291865348815917969e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.289574623107910156e+00,-4.403209209442138672e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.958127975463867188e+00,-4.358944892883300781e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.379971504211425781e+00,-5.055206298828125000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.388571739196777344e+00,-5.072182178497314453e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.209292411804199219e+00,-4.675364494323730469e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.991723060607910156e+00,-4.450755596160888672e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.627389907836914062e+00,-4.651957511901855469e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.241964340209960938e+00,-4.974234580993652344e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.513196945190429688e+00,-4.998004436492919922e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.572739601135253906e+00,-4.604588985443115234e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.327656745910644531e+00,-4.981605529785156250e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.533655166625976562e+00,-5.002824783325195312e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.561879158020019531e+00,-4.520677089691162109e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.443727493286132812e+00,-5.120193958282470703e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.371701240539550781e+00,-5.021431446075439453e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.386341094970703125e+00,-4.928848266601562500e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.591894149780273438e+00,-4.565050125122070312e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.435800552368164062e+00,-5.075480461120605469e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.971813201904296875e+00,-4.409488201141357422e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.671510696411132812e+00,-4.664859294891357422e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.672102737426757812e+01,6.933114528656005859e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.675190925598144531e+01,6.641434192657470703e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.662096023559570312e+01,7.125540256500244141e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.694409942626953125e+01,6.713640213012695312e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.666896247863769531e+01,7.061676502227783203e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.667691230773925781e+01,7.052432060241699219e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.681773757934570312e+01,6.605336189270019531e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.680276870727539062e+01,6.623910427093505859e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.678525161743164062e+01,6.582375049591064453e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.700785827636718750e+01,6.736966609954833984e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.701372909545898438e+01,6.686510562896728516e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.698100852966308594e+01,6.825233936309814453e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.681305694580078125e+01,6.640082836151123047e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.666097068786621094e+01,6.999053478240966797e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.661855125427246094e+01,7.107284069061279297e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.668305969238281250e+01,7.102114200592041016e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.672997283935546875e+01,6.980546951293945312e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.705997085571289062e+01,6.639925003051757812e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.669544029235839844e+01,7.058882713317871094e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.681037139892578125e+01,6.902091026306152344e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.684716987609863281e+01,6.847287178039550781e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.659928512573242188e+01,7.066565990447998047e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.692365074157714844e+01,6.807480335235595703e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.674485206604003906e+01,6.615095138549804688e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.690539932250976562e+01,6.788318157196044922e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.669520187377929688e+01,7.047794818878173828e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.696460914611816406e+01,6.739771366119384766e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.703480529785156250e+01,6.695239543914794922e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.678929710388183594e+01,6.559750080108642578e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.683048057556152344e+01,6.831568241119384766e+00,1.000000000000000000e+00,0.000000000000000000e+00
