Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Assignment Coverage,Noise Points,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Discovery Backend,Discovery Feature Adapter,Transmission Pooling Enabled,Transmission Pooling Groups,Transmission Pooling Mean Group Size,Transmission Pooling Feature Mode,GPCC Backend,GPCC Target Clusters,GPCC Selected Candidate,GPCC Candidate Scores,GPCC Silhouette,GPCC Prototype Margin Mean,GPCC Silhouette Confidence Mean,GPCC Confidence Mean,GPCC Confidence Min,GPCC Cluster Stability,GPCC Cluster Size CV,GPCC Uses HDBSCAN
MV-ACC-CIL discovery,R1,Day 2,5,980,5,5,0,1.0,1.0,0,5,0.0,0.5232196073709133,0.4197995310366152,0.6,0.6,GPCC,none,True,35,28.0,norm_weighted_l2_attention,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5533137607861542, 'silhouette': 0.24896115064620972, 'balance': 0.8319256396536943, 'stability': 1.0, 'cluster_size_cv': 0.20203050890013446}, 'kmeans_graph': {'score': 0.2826263733546418, 'silhouette': 0.11751033365726471, 'balance': 0.7133422114778196, 'stability': 0.3013089901903289, 'cluster_size_cv': 0.4018517114363891}, 'agglomerative_joint': {'score': 0.5533137607861542, 'silhouette': 0.24896115064620972, 'balance': 0.8319256396536943, 'stability': 1.0, 'cluster_size_cv': 0.20203050890013446}}",0.24896115064620972,0.34883764386177063,0.6244806051254272,0.46305420994758606,0.27617865800857544,1.0,0.20203050890013446,False
MV-ACC-CIL discovery,R2,Day 3,5,980,5,5,0,1.0,1.0,0,5,0.0,0.4858239847665558,0.3996186451596279,0.5714285714285714,0.5714285714285714,GPCC,none,True,35,28.0,norm_weighted_l2_attention,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5495009529877686, 'silhouette': 0.24202877283096313, 'balance': 0.8319256396536943, 'stability': 1.0, 'cluster_size_cv': 0.20203050890013446}, 'kmeans_graph': {'score': 0.2502891008174636, 'silhouette': 0.12513300776481628, 'balance': 0.7096762010479857, 'stability': 0.15812282534887, 'cluster_size_cv': 0.4090933280886276}, 'agglomerative_joint': {'score': 0.4748375081769997, 'silhouette': 0.234763503074646, 'balance': 0.7174476267512531, 'stability': 0.8089122245427751, 'cluster_size_cv': 0.3938299643253415}}",0.24202877283096313,0.3416621685028076,0.621014416217804,0.4573057293891907,0.2463064193725586,1.0,0.20203050890013446,False
MV-ACC-CIL discovery,R3,Day 4,5,980,5,5,0,1.0,1.0,0,5,0.0,0.6295642218648393,0.5208832820046368,0.6571428571428571,0.6285714285714286,GPCC,none,True,35,28.0,norm_weighted_l2_attention,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5307256995462555, 'silhouette': 0.24952031672000885, 'balance': 0.7174476267512531, 'stability': 1.0, 'cluster_size_cv': 0.3938299643253415}, 'kmeans_graph': {'score': 0.21262346339632443, 'silhouette': 0.09509004652500153, 'balance': 0.7261659453027143, 'stability': 0.06036299498812288, 'cluster_size_cv': 0.37709569894954736}, 'agglomerative_joint': {'score': 0.4518621505978534, 'silhouette': 0.2598564624786377, 'balance': 0.6335018581761641, 'stability': 0.7289628983974794, 'cluster_size_cv': 0.5785273351509572}}",0.24952031672000885,0.3468954265117645,0.6247602105140686,0.4619792103767395,0.21130745112895966,1.0,0.3938299643253415,False
