Method,Round,Cluster Count,Incremental Pseudo-label Classes,Cluster Count Error,Sample Coverage,Purity,NMI,ARI,Hungarian Acc,Overall Acc,New Acc,Forgetting Rate
MV-ACC-CIL,R1,10,10,0,1.0,0.9676190476190476,0.9427945933081806,0.9311541510712098,0.9676190476190476,0.7433333333333333,0.7977777777777778,0.3077777777777778
MV-ACC-CIL,R2,10,10,0,1.0,0.9323809523809524,0.9247037347534939,0.8796011498209745,0.9323809523809524,0.6848148148148148,0.8144444444444444,0.37222222222222223
MV-ACC-CIL,R3,10,10,0,1.0,0.9904761904761905,0.9809109416555875,0.9792968571715511,0.9904761904761905,0.5102777777777778,0.78,0.46111111111111114
