Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Fusion,Alpha,Iter Merge Rounds,Iter Merge Total Merges,Iter Merge Threshold,Noise Before Reassignment,Noise Reassigned,Assignment Coverage,Assignment Score Mean,Assignment Score Min,No-cluster Fallback,Adaptive Split Count,Adaptive Split Size Factor,Adaptive Split Silhouette Threshold,Adaptive Split Silhouette Mean,Target Cluster Count,Target Count Merges,Target Count Last Merge Similarity,MVACC Min Cluster Size,MVACC Min Cluster Ratio,MVACC Min Samples
MV-ACC-CIL discovery,R1,Day 2,5,490,7,5,0,1.0,5,0.0,0.1439096288774071,0.10200653107314459,0.40408163265306124,0.39183673469387753,fixed_alpha,0.7,12,0,0.74,102,102,1.0,0.7325766086578369,0.5175888538360596,False,0,1.75,0.3,,5,2,0.6831931471824646,15,0.03,5
MV-ACC-CIL discovery,R2,Day 3,5,490,5,5,0,1.0,5,0.0,0.1259865283669213,0.09958717478830661,0.3551020408163265,0.35306122448979593,fixed_alpha,0.7,12,0,0.74,143,143,1.0,0.7002419233322144,0.41110914945602417,False,0,1.75,0.3,,5,0,,15,0.03,5
MV-ACC-CIL discovery,R3,Day 4,5,490,8,5,0,1.0,5,0.0,0.304917618866902,0.24978218884148087,0.4897959183673469,0.4857142857142857,fixed_alpha,0.7,12,1,0.74,140,140,1.0,0.7433398365974426,0.4424898028373718,False,0,1.75,0.3,,5,2,0.6826550364494324,15,0.03,5
