Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Fusion,Alpha,Iter Merge Rounds,Iter Merge Total Merges,Iter Merge Threshold,Noise Before Reassignment,Noise Reassigned,Assignment Coverage,Assignment Score Mean,Assignment Score Min,No-cluster Fallback,Adaptive Split Count,Adaptive Split Size Factor,Adaptive Split Silhouette Threshold,Adaptive Split Silhouette Mean,Target Cluster Count,Target Count Merges,Target Count Last Merge Similarity,MVACC Min Cluster Size,MVACC Min Cluster Ratio,MVACC Min Samples
MV-ACC-CIL discovery,R1,Day 2,5,490,8,5,0,1.0,5,0.0,0.17085418625699242,0.13414934199269551,0.41020408163265304,0.41020408163265304,fixed_alpha,0.7,12,0,0.74,112,112,1.0,0.7627459764480591,0.559988260269165,False,0,1.75,0.3,,5,3,0.6731849908828735,15,0.03,5
MV-ACC-CIL discovery,R2,Day 3,5,490,9,5,0,1.0,5,0.0,0.16177358361084782,0.1193349534597698,0.3877551020408163,0.3836734693877551,fixed_alpha,0.7,12,0,0.74,205,205,1.0,0.7602196931838989,0.5079179406166077,False,0,1.75,0.3,,5,4,0.6394367218017578,15,0.03,5
MV-ACC-CIL discovery,R3,Day 4,5,490,9,5,0,1.0,5,0.0,0.3144361653046768,0.256727723229568,0.4897959183673469,0.47346938775510206,fixed_alpha,0.7,12,0,0.74,132,132,1.0,0.7716127038002014,0.4489554166793823,False,0,1.75,0.3,,5,4,0.6686583757400513,15,0.03,5
