Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Assignment Coverage,Noise Points,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Discovery Backend,Discovery Feature Adapter,GPCC Backend,GPCC Target Clusters,GPCC Selected Candidate,GPCC Candidate Scores,GPCC Silhouette,GPCC Prototype Margin Mean,GPCC Silhouette Confidence Mean,GPCC Confidence Mean,GPCC Confidence Min,GPCC Cluster Stability,GPCC Cluster Size CV,GPCC Uses HDBSCAN,Cross-Day Adapter,Cross-Day Epochs,Cross-Day Batch Size,Cross-Day LR,Cross-Day Consistency Weight,Cross-Day CORAL Weight,Cross-Day Known Samples,Cross-Day Discovery Samples,Cross-Day Final Total,Cross-Day Final CE,Cross-Day Final Consistency,Cross-Day Final CORAL,LoRa SSL Adapter,LoRa SSL Epochs,LoRa SSL Batch Size,LoRa SSL LR,LoRa SSL CE Weight,LoRa SSL Instance Weight,LoRa SSL Teacher Weight,LoRa SSL Temperature,LoRa SSL Known Samples,LoRa SSL Discovery Samples,LoRa SSL Final Total,LoRa SSL Final CE,LoRa SSL Final Instance,LoRa SSL Final Teacher
MV-ACC-CIL discovery,R1,Day 2,5,490,5,5,0,1.0,1.0,0,5,0.0,0.3800852582981793,0.3246033064181383,0.5224489795918368,0.5224489795918368,GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5276556550951245, 'silhouette': 0.20841728150844574, 'balance': 0.8151307513273964, 'stability': 1.0, 'cluster_size_cv': 0.22679704865943776}, 'kmeans_graph': {'score': 0.29441848465194354, 'silhouette': 0.13633506000041962, 'balance': 0.6944521137021548, 'stability': 0.3221751156451271, 'cluster_size_cv': 0.4399840972028381}, 'agglomerative_joint': {'score': 0.44185201696685106, 'silhouette': 0.20545439422130585, 'balance': 0.8256931381111807, 'stability': 0.6548538900915868, 'cluster_size_cv': 0.21110368228026702}}",0.20841728150844574,0.3001602292060852,0.6042087078094482,0.4139266014099121,0.03964976966381073,1.0,0.22679704865943776,False,train_consistency_coral,2,128,1e-05,0.5,0.05,840,490,0.8108948171138763,0.8043632805347443,0.0029697660938836634,0.100933151319623,instance_contrastive_teacher_anchor,3,128,1e-05,1.0,0.5,0.2,0.2,840,490,2.9366865952809653,0.7624782721201578,4.347347577412923,0.002672946002955238
MV-ACC-CIL discovery,R2,Day 3,5,490,5,5,0,1.0,1.0,0,5,0.0,0.28040924153817326,0.2210405275609537,0.4897959183673469,0.47959183673469385,GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5133453268494486, 'silhouette': 0.16944751143455505, 'balance': 0.8507459778022164, 'stability': 1.0, 'cluster_size_cv': 0.17543899835219975}, 'kmeans_graph': {'score': 0.2929662066750135, 'silhouette': 0.08745046705007553, 'balance': 0.793000600424132, 'stability': 0.34507331885058223, 'cluster_size_cv': 0.2610330931214372}, 'agglomerative_joint': {'score': 0.34187575336640164, 'silhouette': 0.13970442116260529, 'balance': 0.7125862800598782, 'stability': 0.4900842628599725, 'cluster_size_cv': 0.40333883486498023}}",0.16944751143455505,0.26724252104759216,0.5847237706184387,0.3822052478790283,0.015096042305231094,1.0,0.17543899835219975,False,train_consistency_coral,2,128,1e-05,0.5,0.05,840,490,1.1713623702526093,1.1664604544639587,0.0022478843457065523,0.07555988058447838,instance_contrastive_teacher_anchor,3,128,1e-05,1.0,0.5,0.2,0.2,840,490,3.2207117875417075,1.161557674407959,4.1173146565755205,0.002483835288633903
MV-ACC-CIL discovery,R3,Day 4,5,490,5,5,0,1.0,1.0,0,5,0.0,0.4933135243377694,0.43004965588243294,0.6306122448979592,0.6204081632653061,GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5392071794633811, 'silhouette': 0.23754028975963593, 'balance': 0.7928001004779068, 'stability': 1.0, 'cluster_size_cv': 0.26135200966446814}, 'kmeans_graph': {'score': 0.3632265528184916, 'silhouette': 0.18032725155353546, 'balance': 0.7546095881754152, 'stability': 0.452498587315856, 'cluster_size_cv': 0.3251885685920304}, 'agglomerative_joint': {'score': 0.4916846108030128, 'silhouette': 0.2247609794139862, 'balance': 0.7574870479792764, 'stability': 0.8662746501178602, 'cluster_size_cv': 0.3201545857023794}}",0.23754028975963593,0.34094786643981934,0.618770182132721,0.45169275999069214,0.07223592698574066,1.0,0.26135200966446814,False,train_consistency_coral,2,128,1e-05,0.5,0.05,840,490,1.5361322164535522,1.5336726009845734,0.00105163553962484,0.038675852585583925,instance_contrastive_teacher_anchor,3,128,1e-05,1.0,0.5,0.2,0.2,840,490,3.5501719315846763,1.5733101765314739,3.9531832536061606,0.0013507372932508588
