Method,Round,Cluster Count,Incremental Pseudo-label Classes,Cluster Count Error,Sample Coverage,Purity,NMI,ARI,Hungarian Acc,Overall Acc,New Acc,Forgetting Rate
MV-ACC-CIL + DOI-memory,R1,10,10,0,1.0,0.9666666666666667,0.9407874574512328,0.9300003169213094,0.9666666666666667,0.8738888888888889,0.82,0.06888888888888889
MV-ACC-CIL + DOI-memory,R2,10,10,0,1.0,0.9357142857142857,0.9324585522053018,0.8865848734024285,0.9357142857142857,0.7662962962962963,0.71,0.13555555555555554
MV-ACC-CIL + DOI-memory,R3,10,10,0,1.0,0.9852380952380952,0.9692828783345807,0.9683303189797823,0.9852380952380952,0.64,0.8444444444444444,0.13666666666666671
