Method,R1 Acc,R1 Forgetting,R2 Acc,R2 Forgetting,R3 Acc,R3 Forgetting,Avg Acc,Avg Forgetting
Ft-CNN,0.18412698412698414,0.19047619047619047,0.13095238095238096,0.21190476190476187,0.09238095238095238,0.2357142857142857,0.1358201058201058,0.2126984126984127
LwF,0.1634920634920635,0.22142857142857142,0.1619047619047619,0.2095238095238095,0.05714285714285714,0.23809523809523808,0.12751322751322752,0.223015873015873
iCaRL,0.28095238095238095,0.17857142857142855,0.25,0.13571428571428568,0.18,0.2047619047619047,0.236984126984127,0.17301587301587298
EEIL,0.20476190476190476,0.21428571428571427,0.16785714285714284,0.15476190476190474,0.12476190476190477,0.16190476190476188,0.1657936507936508,0.17698412698412694
TPCIL-style,0.2841269841269841,0.1523809523809524,0.24404761904761904,0.12142857142857144,0.18,0.1738095238095238,0.23605820105820108,0.1492063492063492
DOI-style,0.26825396825396824,0.17142857142857137,0.25833333333333336,0.12857142857142856,0.17904761904761904,0.18809523809523804,0.2352116402116402,0.16269841269841265
MV-ACC-CIL,0.18888888888888888,0.3214285714285714,0.19404761904761905,0.3380952380952381,0.11523809523809524,0.4976190476190476,0.16605820105820104,0.3857142857142857
