Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Assignment Coverage,Noise Points,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Discovery Backend,Discovery Feature Adapter,GPCC Backend,GPCC Target Clusters,GPCC Selected Candidate,GPCC Candidate Scores,GPCC Silhouette,GPCC Prototype Margin Mean,GPCC Silhouette Confidence Mean,GPCC Confidence Mean,GPCC Confidence Min,GPCC Cluster Stability,GPCC Cluster Size CV,GPCC Uses HDBSCAN,Recording-Consensus Backend,Recording-Consensus Groups,Recording-Consensus Threshold,Recording-Consensus Accepted Groups,Recording-Consensus Changed Samples,Recording-Consensus Mean Consistency,Recording-Consensus Min Consistency
Joint discovery refinement,R1_refined,Day 2,5,490,5,5,0,1.0,1.0,0,5,0.0,0.4415244322297474,0.3839849569772344,0.5571428571428572,0.5571428571428572,Recording-Consensus-GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5307289090285572, 'silhouette': 0.2090979814529419, 'balance': 0.8286250961471958, 'stability': 1.0, 'cluster_size_cv': 0.20681838463454072}, 'kmeans_graph': {'score': 0.3068423447156824, 'silhouette': 0.12438114732503891, 'balance': 0.6449412275360921, 'stability': 0.4377778727187704, 'cluster_size_cv': 0.5505288812445135}, 'agglomerative_joint': {'score': 0.456986211093799, 'silhouette': 0.19549520313739777, 'balance': 0.8371932012158793, 'stability': 0.7281008365002175, 'cluster_size_cv': 0.19446741629969264}}",0.2090979814529419,0.2992934286594391,0.604548990726471,0.4140077829360962,0.054069507867097855,1.0,0.20681838463454072,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,14,40,0.6571428571428571,0.35714285714285715
Joint discovery refinement,R2_refined,Day 3,5,490,5,5,0,1.0,1.0,0,5,0.0,0.3693860037044181,0.311100848781618,0.5714285714285714,0.5530612244897959,Recording-Consensus-GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5109029394960957, 'silhouette': 0.1698531210422516, 'balance': 0.8374186146142862, 'stability': 1.0, 'cluster_size_cv': 0.19414589376019376}, 'kmeans_graph': {'score': 0.3110516997852234, 'silhouette': 0.09966843575239182, 'balance': 0.6688031842035522, 'stability': 0.48989369312278963, 'cluster_size_cv': 0.4952081922140596}, 'agglomerative_joint': {'score': 0.4293363827629738, 'silhouette': 0.15640529990196228, 'balance': 0.797085297835647, 'stability': 0.7355856329990604, 'cluster_size_cv': 0.2545708755579038}}",0.1698531210422516,0.271524041891098,0.5849265456199646,0.3870856463909149,0.07277186959981918,1.0,0.19414589376019376,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,15,44,0.6469387755102041,0.2857142857142857
Joint discovery refinement,R3_refined,Day 4,5,490,5,5,0,1.0,1.0,0,5,0.0,0.6256445980563133,0.5641267479199678,0.6918367346938775,0.6816326530612244,Recording-Consensus-GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5370697539809784, 'silhouette': 0.24311339855194092, 'balance': 0.7667869238870544, 'stability': 1.0, 'cluster_size_cv': 0.30414326176915507}, 'kmeans_graph': {'score': 0.386973481066631, 'silhouette': 0.17083394527435303, 'balance': 0.7870830020745864, 'stability': 0.5423928430032782, 'cluster_size_cv': 0.27051403392553114}, 'agglomerative_joint': {'score': 0.46325637253804963, 'silhouette': 0.22153089940547943, 'balance': 0.7390616350144839, 'stability': 0.7744082034485568, 'cluster_size_cv': 0.3530671227175827}}",0.24311339855194092,0.348256379365921,0.6215566992759705,0.455183744430542,0.008148426190018654,1.0,0.30414326176915507,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,24,57,0.7510204081632652,0.42857142857142855
