Method,Round,Cluster Count,Incremental Pseudo-label Classes,Cluster Count Error,Sample Coverage,Purity,NMI,ARI,Hungarian Acc,Overall Acc,New Acc,Forgetting Rate
MV-ACC-CIL,R1,5,5,0,1.0,0.40408163265306124,0.1439096288774071,0.10200653107314459,0.39183673469387753,0.24603174603174602,0.40476190476190477,0.3595238095238096
MV-ACC-CIL,R2,4,4,1,1.0,0.3326530612244898,0.08282183895429106,0.07601091901728844,0.3306122448979592,0.20476190476190476,0.2904761904761905,0.33333333333333337
MV-ACC-CIL,R3,5,5,0,1.0,0.48775510204081635,0.3016117780772045,0.24537127498253344,0.4857142857142857,0.16380952380952382,0.45714285714285713,0.48809523809523814
