Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Fusion,Alpha,Iter Merge Rounds,Iter Merge Total Merges,Iter Merge Threshold,Noise Before Reassignment,Noise Reassigned,Assignment Coverage,Assignment Score Mean,Assignment Score Min,No-cluster Fallback,Adaptive Split Count,Adaptive Split Size Factor,Adaptive Split Silhouette Threshold,Adaptive Split Silhouette Mean,MVACC Min Cluster Size,MVACC Min Cluster Ratio,MVACC Min Samples
MV-ACC-CIL discovery,R1,Day 2,10,3081,10,11,1,1.1,11,0.0,0.8211427904116365,0.6433316696484536,0.8136968516715353,0.6910094125283999,fixed_alpha,0.7,12,0,0.74,221,221,1.0,0.7420093417167664,0.5252496600151062,False,1,1.75,0.3,0.3539976179599762,92,0.03,5
MV-ACC-CIL discovery,R2,Day 3,10,2911,12,12,2,1.2,12,0.0,0.8700223259015032,0.7936215440832992,0.9285468911027138,0.8306423909309516,fixed_alpha,0.7,12,0,0.74,404,404,1.0,0.7595995664596558,0.5762574672698975,False,0,1.75,0.3,,87,0.03,5
MV-ACC-CIL discovery,R3,Day 4,10,2448,6,6,4,0.6,6,0.0,0.7648838022906856,0.5808908274716037,0.6699346405228758,0.6699346405228758,fixed_alpha,0.7,12,0,0.74,269,269,1.0,0.6727160811424255,0.492084264755249,False,0,1.75,0.3,,73,0.03,5
