Policy,Round,Overall Acc,Old Acc,New Acc,Forgetting Rate,Macro F1,Main Overall Acc,Main Old Acc,Main New Acc,Old Route Fraction,Protected New Fraction,Gate Threshold,Target Discovery Reject,Target Feasible,Valid Old Source Recall,Valid Discovery Reject,Valid Route Fraction
reject_0p80,R1,0.41904761904761906,0.5785714285714286,0.1,nan,0.4029694698303087,0.29523809523809524,0.39166666666666666,0.10238095238095238,0.5396825396825397,0.20555555555555555,0.2841379310344828,0.8,True,0.7721088435374149,0.8163265306122449,0.5759637188208617
reject_0p90,R1,0.42063492063492064,0.5821428571428572,0.09761904761904762,nan,0.4035355018415254,0.29523809523809524,0.39166666666666666,0.10238095238095238,0.49523809523809526,0.1380952380952381,0.3455172413793104,0.9,True,0.7210884353741497,0.9013605442176871,0.5136054421768708
reject_0p95,R1,0.41904761904761906,0.5785714285714286,0.1,nan,0.4026528166824214,0.29523809523809524,0.39166666666666666,0.10238095238095238,0.4507936507936508,0.15,0.40689655172413797,0.95,True,0.685374149659864,0.9523809523809523,0.47278911564625853
reject_0p98,R1,0.41904761904761906,0.5773809523809523,0.10238095238095238,nan,0.403072132850839,0.29523809523809524,0.39166666666666666,0.10238095238095238,0.4396825396825397,0.0873015873015873,0.5296551724137931,0.98,True,0.673469387755102,0.9829931972789115,0.4546485260770975
reject_0p80,R2,0.3470238095238095,0.42936507936507934,0.1,0.0940476190476191,0.31636680077995083,0.27380952380952384,0.32142857142857145,0.13095238095238096,0.6452380952380953,0.008333333333333333,0.4375862068965517,0.8,True,0.800453514739229,0.8163265306122449,0.6462585034013606
reject_0p90,R2,0.3202380952380952,0.39126984126984127,0.10714285714285714,0.130952380952381,0.29386603135017825,0.27380952380952384,0.32142857142857145,0.13095238095238096,0.5517857142857143,0.008333333333333333,0.5910344827586207,0.9,True,0.7029478458049887,0.9013605442176871,0.5518707482993197
reject_0p95,R2,0.3130952380952381,0.37777777777777777,0.11904761904761904,0.14642857142857146,0.2930214973143668,0.27380952380952384,0.32142857142857145,0.13095238095238096,0.47619047619047616,0.05416666666666667,0.7137931034482758,0.95,True,0.6337868480725624,0.95578231292517,0.48639455782312924
reject_0p98,R2,0.30238095238095236,0.3595238095238095,0.13095238095238096,0.15238095238095234,0.2914407159132261,0.27380952380952384,0.32142857142857145,0.13095238095238096,0.4297619047619048,0.18333333333333332,0.7751724137931034,0.98,True,0.5702947845804989,0.9829931972789115,0.43197278911564624
reject_0p80,R3,0.2976190476190476,0.29285714285714287,0.31666666666666665,0.20357142857142863,0.27371394379480074,0.25761904761904764,0.2386904761904762,0.3333333333333333,0.4766666666666667,0.3271428571428571,0.46827586206896554,0.8,True,0.6794217687074829,0.8095238095238095,0.5816326530612245
reject_0p90,R3,0.2695238095238095,0.25535714285714284,0.3261904761904762,0.23690476190476195,0.23884095290488935,0.25761904761904764,0.2386904761904762,0.3333333333333333,0.33904761904761904,0.3380952380952381,0.6217241379310345,0.9,True,0.5374149659863946,0.9047619047619048,0.4489795918367347
reject_0p95,R3,0.25476190476190474,0.2363095238095238,0.32857142857142857,0.24880952380952387,0.2204617020704429,0.25761904761904764,0.2386904761904762,0.3333333333333333,0.19095238095238096,0.2619047619047619,0.7444827586206897,0.95,True,0.34098639455782315,0.9523809523809523,0.282312925170068
reject_0p98,R3,0.24523809523809523,0.2255952380952381,0.3238095238095238,0.2547619047619047,0.2104589284015871,0.25761904761904764,0.2386904761904762,0.3333333333333333,0.14904761904761904,0.05333333333333334,0.8058620689655173,0.98,True,0.24489795918367346,0.9863945578231292,0.19863945578231293
