Method,R1 Acc,R1 Forgetting,R2 Acc,R2 Forgetting,R3 Acc,R3 Forgetting,Avg Acc,Avg Forgetting
Deep-HDBSCAN + Ft-CNN,0.3333333333333333,0.05476190476190479,0.20952380952380953,0.12857142857142861,0.1838095238095238,0.1023809523809524,0.2422222222222222,0.09523809523809527
Deep-HDBSCAN + LwF,0.3333333333333333,0.059523809523809534,0.20714285714285716,0.13571428571428573,0.17714285714285713,0.11904761904761907,0.2392063492063492,0.10476190476190478
Deep-HDBSCAN + iCaRL,0.37777777777777777,0.05238095238095242,0.31547619047619047,0.04761904761904767,0.23238095238095238,0.17619047619047623,0.3085449735449735,0.09206349206349211
Deep-HDBSCAN + EEIL,0.31746031746031744,0.08333333333333337,0.21071428571428572,0.1428571428571429,0.2,0.06190476190476191,0.24272486772486776,0.09603174603174607
Deep-HDBSCAN + TPCIL-style,0.3746031746031746,0.0357142857142857,0.3202380952380952,0.02857142857142858,0.2257142857142857,0.1738095238095238,0.3068518518518519,0.07936507936507936
Deep-HDBSCAN + DOI-style,0.38095238095238093,0.05238095238095242,0.325,0.04761904761904767,0.22952380952380952,0.1928571428571429,0.3118253968253968,0.09761904761904766
MV-ACC-CIL,0.3619047619047619,0.2047619047619048,0.2988095238095238,0.18809523809523815,0.23047619047619047,0.3380952380952381,0.2970634920634921,0.24365079365079367
