Method,Stage,Seen Classes,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
LoRa physical-descriptor proto,Initial,10,840,0.18333333333333332,0.18333333333333332,,0.18333333333333332,0.0,0.16821700761420916
LoRa physical-descriptor proto,After R1,15,1260,0.09047619047619047,0.07261904761904762,0.1261904761904762,0.07261904761904762,0.1107142857142857,0.07508029866037064
LoRa physical-descriptor proto,After R2,20,1680,0.08154761904761905,0.0761904761904762,0.09761904761904762,0.06428571428571428,0.11904761904761904,0.06610486423945038
LoRa physical-descriptor proto,After R3,25,2100,0.05095238095238095,0.05654761904761905,0.02857142857142857,0.05119047619047619,0.13214285714285712,0.03994509656054011
