Method,Round,True New Classes,Samples,Final Cluster Count,Cluster Count Error,Assignment Coverage,NMI,ARI,Hungarian Acc,Cluster Size CV
physical-descriptor KMeans,R1,5,980,5,0,1.0,0.03007443859577164,0.0033418344994428956,0.2316326530612245,1.235279840653766
physical-descriptor KMeans,R2,5,980,5,0,1.0,0.01724707981610769,0.00041104647097961217,0.2193877551020408,1.2165388117108116
physical-descriptor KMeans,R3,5,980,5,0,1.0,0.05268968542038478,0.006762543266104226,0.24285714285714285,1.2306097065037906
