Round,Overall Acc,Old Acc,New Acc,Forgetting Rate,Macro F1,Old Route Fraction,Gate Threshold,Gate Old Source Recall,Gate Discovery Reject
R1,0.4396825396825397,0.625,0.06904761904761905,nan,0.39325186874747853,0.5714285714285714,0.30000000000000004,0.8027210884353742,0.7857142857142857
R2,0.3333333333333333,0.44285714285714284,0.004761904761904762,0.14166666666666666,0.30874066449256654,0.6761904761904762,0.4,0.7947845804988662,0.7789115646258503
R3,0.30428571428571427,0.3386904761904762,0.16666666666666666,0.1797619047619048,0.265671856745304,0.5704761904761905,0.5,0.6598639455782312,0.6496598639455783
