Method,Round,True New Classes,Final Cluster Count,NMI,ARI,Purity,Hungarian Acc,Cross-Day Adapter,Cross-Day Epochs,Cross-Day Batch Size,Cross-Day LR,Cross-Day Consistency Weight,Cross-Day CORAL Weight,Cross-Day Known Samples,Cross-Day Discovery Samples,Cross-Day Final Total,Cross-Day Final CE,Cross-Day Final Consistency,Cross-Day Final CORAL,GPCC Backend,GPCC Target Clusters,GPCC Selected Candidate,GPCC Candidate Scores,GPCC Silhouette,GPCC Prototype Margin Mean,GPCC Silhouette Confidence Mean,GPCC Confidence Mean,GPCC Confidence Min,GPCC Cluster Stability,GPCC Cluster Size CV,GPCC Uses HDBSCAN
Stage11-cross_day,R1,10,10,0.8009255996544692,0.7076619213425408,0.8234339500162285,0.8052580331061344,train_consistency_coral,2,128,1e-05,0.5,0.05,14388,3081,0.3191357237100601,0.3062554234266281,0.0011025642650201917,0.24658041834831237,graph_prototype_controlled_clustering,10,kmeans_joint,"{'kmeans_joint': {'score': 0.5260248269955695, 'silhouette': 0.2319505512714386, 'balance': 0.7422601189813917, 'stability': 1.0, 'cluster_size_cv': 0.34723660133095446}, 'kmeans_graph': {'score': 0.3999536633065165, 'silhouette': 0.19148005545139313, 'balance': 0.7024928204064907, 'stability': 0.6165642749078085, 'cluster_size_cv': 0.4235020927635383}, 'agglomerative_joint': {'score': 0.4665532926677959, 'silhouette': 0.22497078776359558, 'balance': 0.7160553254199813, 'stability': 0.798433177255288, 'cluster_size_cv': 0.3965401338415845}}",0.2319505512714386,0.3415957987308502,0.6159752607345581,0.4490538537502289,0.02232121303677559,1.0,0.34723660133095446,False
Stage11-cross_day,R2,10,10,0.7458039290631843,0.5825479314318347,0.7420130539333563,0.6976983854345585,train_consistency_coral,2,128,1e-05,0.5,0.05,14388,2911,0.30217877354310907,0.29356290918329486,0.00047573105573816144,0.16756001179632934,graph_prototype_controlled_clustering,10,kmeans_joint,"{'kmeans_joint': {'score': 0.5116432127606783, 'silhouette': 0.20980271697044373, 'balance': 0.7312585921346707, 'stability': 1.0, 'cluster_size_cv': 0.36750529943289484}, 'kmeans_graph': {'score': 0.37500882317649464, 'silhouette': 0.17044313251972198, 'balance': 0.700082698528119, 'stability': 0.5649942423400948, 'cluster_size_cv': 0.42840267600161913}, 'agglomerative_joint': {'score': 0.43084141527076814, 'silhouette': 0.19477808475494385, 'balance': 0.6374276830242898, 'stability': 0.7849117282027641, 'cluster_size_cv': 0.5688054137458821}}",0.20980271697044373,0.3113107979297638,0.6049013733863831,0.4226991832256317,0.0355735719203949,1.0,0.36750529943289484,False
Stage11-cross_day,R3,10,10,0.7217688048093206,0.5251994938328796,0.7283496732026143,0.6074346405228758,train_consistency_coral,2,128,1e-05,0.5,0.05,14388,2448,0.30432281717658044,0.2930933117866516,0.0005806809596833773,0.21878332495689393,graph_prototype_controlled_clustering,10,kmeans_joint,"{'kmeans_joint': {'score': 0.5208554222324823, 'silhouette': 0.22669942677021027, 'balance': 0.7308536875443332, 'stability': 1.0, 'cluster_size_cv': 0.36826291916238096}, 'kmeans_graph': {'score': 0.40349221489554044, 'silhouette': 0.1900600641965866, 'balance': 0.6741452406223929, 'stability': 0.6565205258517568, 'cluster_size_cv': 0.4833598752054783}, 'agglomerative_joint': {'score': 0.48510833699731576, 'silhouette': 0.22133302688598633, 'balance': 0.709662547229635, 'stability': 0.8857706510563851, 'cluster_size_cv': 0.40912043886742777}}",0.22669942677021027,0.3482251763343811,0.6133496761322021,0.45254722237586975,0.04247325658798218,1.0,0.36826291916238096,False
