Method,Round,True New Classes,Final Cluster Count,NMI,ARI,Purity,Hungarian Acc,Cross-Day Adapter,Cross-Day Epochs,Cross-Day Batch Size,Cross-Day LR,Cross-Day Consistency Weight,Cross-Day CORAL Weight,Cross-Day Known Samples,Cross-Day Discovery Samples,Cross-Day Final Total,Cross-Day Final CE,Cross-Day Final Consistency,Cross-Day Final CORAL,GPCC Backend,GPCC Target Clusters,GPCC Selected Candidate,GPCC Candidate Scores,GPCC Silhouette,GPCC Prototype Margin Mean,GPCC Silhouette Confidence Mean,GPCC Confidence Mean,GPCC Confidence Min,GPCC Cluster Stability,GPCC Cluster Size CV,GPCC Uses HDBSCAN
Stage11-cross_day,R1,5,5,0.2075569064558956,0.17711524416475743,0.4530612244897959,0.4387755102040816,train_consistency_coral,2,128,1e-05,0.5,0.05,840,490,1.0186120718717575,0.9917294234037399,0.003257731907069683,0.5050767734646797,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5137897664083623, 'silhouette': 0.1828276365995407, 'balance': 0.8161728313930744, 'stability': 1.0, 'cluster_size_cv': 0.2252306883251217}, 'kmeans_graph': {'score': 0.28501008594708765, 'silhouette': 0.103550985455513, 'balance': 0.7417971899782692, 'stability': 0.3187904238036065, 'cluster_size_cv': 0.3480773633414476}, 'agglomerative_joint': {'score': 0.36956282588974126, 'silhouette': 0.1547161191701889, 'balance': 0.7002621664573491, 'stability': 0.5776661082186701, 'cluster_size_cv': 0.42803659529263904}}",0.1828276365995407,0.27856913208961487,0.5914137959480286,0.39194434881210327,0.008265094831585884,1.0,0.2252306883251217,False
Stage11-cross_day,R2,5,5,0.12414097648763942,0.08208175552474073,0.3653061224489796,0.336734693877551,train_consistency_coral,2,128,1e-05,0.5,0.05,840,490,1.0016161054372787,0.9711281359195709,0.0027373898192308843,0.5823856443166733,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.519827583350589, 'silhouette': 0.16912159323692322, 'balance': 0.8840535353514059, 'stability': 1.0, 'cluster_size_cv': 0.13115321641975686}, 'kmeans_graph': {'score': 0.29936358716635647, 'silhouette': 0.09880457073450089, 'balance': 0.801374336704476, 'stability': 0.33898482368594307, 'cluster_size_cv': 0.2478562816377926}, 'agglomerative_joint': {'score': 0.36118556313036854, 'silhouette': 0.14092934131622314, 'balance': 0.8015903699368385, 'stability': 0.4934254056763124, 'cluster_size_cv': 0.2475199771658874}}",0.16912159323692322,0.2664962708950043,0.5845608711242676,0.3808680772781372,0.05218540132045746,1.0,0.13115321641975686,False
Stage11-cross_day,R3,5,5,0.3525160627592044,0.28270513385630197,0.5163265306122449,0.5081632653061224,train_consistency_coral,2,128,1e-05,0.5,0.05,840,490,0.9971563071012497,0.9871971607208252,0.0017683828482404351,0.18149854242801666,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5106671324970508, 'silhouette': 0.19201640784740448, 'balance': 0.7752905409048914, 'stability': 1.0, 'cluster_size_cv': 0.28983903096874586}, 'kmeans_graph': {'score': 0.2318191765634482, 'silhouette': 0.06278182566165924, 'balance': 0.6958980478142177, 'stability': 0.23243825154676825, 'cluster_size_cv': 0.43699210414650813}, 'agglomerative_joint': {'score': 0.4438987537750284, 'silhouette': 0.17671917378902435, 'balance': 0.7729384058682568, 'stability': 0.7684621080696546, 'cluster_size_cv': 0.2937641504262948}}",0.19201640784740448,0.29000580310821533,0.5960081815719604,0.4044106602668762,0.07092737406492233,1.0,0.28983903096874586,False
