Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Fusion,Alpha,Iter Merge Rounds,Iter Merge Total Merges,Iter Merge Threshold,Noise Before Reassignment,Noise Reassigned,Assignment Coverage,Assignment Score Mean,Assignment Score Min,No-cluster Fallback,Adaptive Split Count,Adaptive Split Size Factor,Adaptive Split Silhouette Threshold,Adaptive Split Silhouette Mean,MVACC Min Cluster Size,MVACC Min Cluster Ratio,MVACC Min Samples
MV-ACC-CIL discovery,R1,Day 2,10,2100,10,10,0,1.0,10,0.0,0.9445623781916279,0.9355997269602859,0.9695238095238096,0.9695238095238096,fixed_alpha,0.7,12,1,0.74,45,45,1.0,0.7842869162559509,0.66493821144104,False,1,1.75,0.3,0.4347262978553772,63,0.03,5
MV-ACC-CIL discovery,R2,Day 3,10,2100,13,11,1,1.1,11,0.0,0.9247128157798656,0.9132280531116657,0.9714285714285714,0.9276190476190476,fixed_alpha,0.7,12,2,0.74,100,100,1.0,0.8568022847175598,0.6783636212348938,False,0,1.75,0.3,,63,0.03,5
MV-ACC-CIL discovery,R3,Day 4,10,2100,16,12,2,1.2,12,0.0,0.9286669774491565,0.90222615235337,0.9676190476190476,0.9114285714285715,fixed_alpha,0.7,12,5,0.74,85,85,1.0,0.909144401550293,0.7002108097076416,False,1,1.75,0.3,0.6725937724113464,63,0.03,5
