Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Assignment Coverage,Noise Points,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Discovery Backend,Discovery Feature Adapter,GPCC Backend,GPCC Target Clusters,GPCC Selected Candidate,GPCC Candidate Scores,GPCC Silhouette,GPCC Prototype Margin Mean,GPCC Silhouette Confidence Mean,GPCC Confidence Mean,GPCC Confidence Min,GPCC Cluster Stability,GPCC Cluster Size CV,GPCC Uses HDBSCAN,Recording-Consensus Backend,Recording-Consensus Groups,Recording-Consensus Threshold,Recording-Consensus Accepted Groups,Recording-Consensus Changed Samples,Recording-Consensus Mean Consistency,Recording-Consensus Min Consistency
Joint discovery refinement,R1_refined,Day 2,5,490,5,5,0,1.0,1.0,0,5,0.0,0.43154273926398057,0.3832068689944589,0.5551020408163265,0.5428571428571428,Recording-Consensus-GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5243051878550183, 'silhouette': 0.21321281790733337, 'balance': 0.7851906900299247, 'stability': 1.0, 'cluster_size_cv': 0.273575976762904}, 'kmeans_graph': {'score': 0.31642609024563256, 'silhouette': 0.13797061145305634, 'balance': 0.7615851298459202, 'stability': 0.35290091190906997, 'cluster_size_cv': 0.31305084725369386}, 'agglomerative_joint': {'score': 0.4615470040116198, 'silhouette': 0.20434033870697021, 'balance': 0.8213438079613798, 'stability': 0.7395642245220407, 'cluster_size_cv': 0.21751694029575097}}",0.21321281790733337,0.3092862665653229,0.6066064238548279,0.42340511083602905,0.07792031019926071,1.0,0.273575976762904,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,16,44,0.6653061224489797,0.35714285714285715
Joint discovery refinement,R2_refined,Day 3,5,490,5,5,0,1.0,1.0,0,5,0.0,0.3428863961252459,0.28789650695324354,0.5448979591836735,0.5306122448979592,Recording-Consensus-GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5100327284120053, 'silhouette': 0.16539976000785828, 'balance': 0.8453143020384163, 'stability': 1.0, 'cluster_size_cv': 0.1829919328095714}, 'kmeans_graph': {'score': 0.36818769853878636, 'silhouette': 0.1450890749692917, 'balance': 0.7929504429697639, 'stability': 0.5191944748468925, 'cluster_size_cv': 0.2611128587743674}, 'agglomerative_joint': {'score': 0.42396041022706843, 'silhouette': 0.14599665999412537, 'balance': 0.8167904739955627, 'stability': 0.7212166097247478, 'cluster_size_cv': 0.2243041904103214}}",0.16539976000785828,0.2615073025226593,0.5826998949050903,0.37758392095565796,0.040045469999313354,1.0,0.1829919328095714,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,14,41,0.6326530612244898,0.2857142857142857
Joint discovery refinement,R3_refined,Day 4,5,490,5,5,0,1.0,1.0,0,5,0.0,0.6167809249160641,0.562064231126121,0.6959183673469388,0.6857142857142857,Recording-Consensus-GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5325192514467092, 'silhouette': 0.2347518354654312, 'balance': 0.7670287097036099, 'stability': 1.0, 'cluster_size_cv': 0.30373216458405217}, 'kmeans_graph': {'score': 0.34210151050549964, 'silhouette': 0.13951130211353302, 'balance': 0.757151602326291, 'stability': 0.455759895511193, 'cluster_size_cv': 0.32073946212036764}, 'agglomerative_joint': {'score': 0.481133230592649, 'silhouette': 0.21872307360172272, 'balance': 0.7475218376925176, 'stability': 0.8453246902927918, 'cluster_size_cv': 0.3377535606007751}}",0.2347518354654312,0.33945992588996887,0.617375910282135,0.4485839903354645,0.058007679879665375,1.0,0.30373216458405217,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,24,56,0.7551020408163265,0.42857142857142855
