Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1,Eval Granularity,Source Eval Samples,Recording Groups
MV-ACC-CIL,Initial,Day 1,day1_eval_initial_recording_majority,10,-,-,-,30,0.7,0.7,,0.7,0.0,0.6657142857142857,recording_majority_vote,420,30
MV-ACC-CIL,After R1,Day 2,eval_r1_recording_majority_15_seen,15,5,5,5,45,0.4444444444444444,0.6333333333333333,0.06666666666666667,0.6333333333333333,0.06666666666666665,0.35198412698412695,recording_majority_vote,630,45
MV-ACC-CIL,After R2,Day 3,eval_r2_recording_majority_20_seen,20,5,5,5,60,0.45,0.5333333333333333,0.2,0.6,0.09999999999999998,0.35591991341991347,recording_majority_vote,840,60
MV-ACC-CIL,After R3,Day 4,eval_r3_recording_majority_25_seen,25,5,5,5,75,0.3466666666666667,0.4166666666666667,0.06666666666666667,0.6,0.09999999999999998,0.25290960020371783,recording_majority_vote,1050,75
