Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Label-free Silhouette,Cluster Size Min,Cluster Size Median,Cluster Size Max,Cluster Size CV,Raw HDBSCAN Confidence Mean,Fusion,Alpha,Iter Merge Rounds,Iter Merge Total Merges,Iter Merge Threshold,Noise Before Reassignment,Noise Reassigned,Assignment Coverage,Assignment Score Mean,Assignment Score Min,No-cluster Fallback,Adaptive Split Count,Adaptive Split Size Factor,Adaptive Split Silhouette Threshold,Adaptive Split Silhouette Mean,MVACC Min Cluster Size,MVACC Min Cluster Ratio,MVACC Min Samples
MV-ACC-CIL discovery,R1,Day 2,10,3081,10,10,0,1.0,10,0.0,0.8676462321980101,0.799199368205622,0.893216488153197,0.893216488153197,0.33486640453338623,107,325.5,560,0.4682374536293432,0.7609880913570187,fixed_alpha,0.7,12,0,0.74,186,186,1.0,0.7726300954818726,0.5980924963951111,False,0,1.75,0.3,,92,0.03,5
MV-ACC-CIL discovery,R2,Day 3,10,2911,11,10,0,1.0,10,0.0,0.7908749118182183,0.6468462789399749,0.8072827207145311,0.7639986259017519,0.28792136907577515,128,261.5,682,0.5016621983348285,0.6798889818374726,fixed_alpha,0.7,12,1,0.74,703,703,1.0,0.7215240001678467,0.4924317002296448,False,0,1.75,0.3,,87,0.03,5
MV-ACC-CIL discovery,R3,Day 4,10,2448,7,7,3,0.7,7,0.0,0.753925477689586,0.5309973978609371,0.6662581699346405,0.6151960784313726,0.2645641565322876,127,388.0,633,0.4615976921600593,0.8666292994605032,fixed_alpha,0.7,12,0,0.74,132,132,1.0,0.6600862145423889,0.5499546527862549,False,0,1.75,0.3,,73,0.03,5
