Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Assignment Coverage,Noise Points,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Discovery Backend,Discovery Feature Adapter,GPCC Backend,GPCC Target Clusters,GPCC Selected Candidate,GPCC Candidate Scores,GPCC Silhouette,GPCC Prototype Margin Mean,GPCC Silhouette Confidence Mean,GPCC Confidence Mean,GPCC Confidence Min,GPCC Cluster Stability,GPCC Cluster Size CV,GPCC Uses HDBSCAN,Recording-Consensus Backend,Recording-Consensus Groups,Recording-Consensus Threshold,Recording-Consensus Accepted Groups,Recording-Consensus Changed Samples,Recording-Consensus Mean Consistency,Recording-Consensus Min Consistency,Cross-Day Adapter,Cross-Day Epochs,Cross-Day Batch Size,Cross-Day LR,Cross-Day Consistency Weight,Cross-Day CORAL Weight,Cross-Day Known Samples,Cross-Day Discovery Samples,Cross-Day Final Total,Cross-Day Final CE,Cross-Day Final Consistency,Cross-Day Final CORAL,LoRa SSL Adapter,LoRa SSL Epochs,LoRa SSL Batch Size,LoRa SSL LR,LoRa SSL CE Weight,LoRa SSL Instance Weight,LoRa SSL Teacher Weight,LoRa SSL Temperature,LoRa SSL Known Samples,LoRa SSL Discovery Samples,LoRa SSL Final Total,LoRa SSL Final CE,LoRa SSL Final Instance,LoRa SSL Final Teacher
MV-ACC-CIL discovery,R1,Day 2,5,980,5,5,0,1.0,1.0,0,5,0.0,0.4128604143218218,0.35868711808841824,0.5836734693877551,0.5836734693877551,Recording-Consensus-GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5461705534511303, 'silhouette': 0.20878398418426514, 'balance': 0.9066968107489222, 'stability': 1.0, 'cluster_size_cv': 0.10290450803947392}, 'kmeans_graph': {'score': 0.3689501072133608, 'silhouette': 0.14900198578834534, 'balance': 0.7914185736306655, 'stability': 0.5148612012145509, 'cluster_size_cv': 0.2635538681035228}, 'agglomerative_joint': {'score': 0.4580500477903222, 'silhouette': 0.21691597998142242, 'balance': 0.7418301152150341, 'stability': 0.7615209430301323, 'cluster_size_cv': 0.34801753055028006}}",0.20878398418426514,0.29845279455184937,0.6043920516967773,0.4143138527870178,0.05350558087229729,1.0,0.10290450803947392,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,19,87,0.6948979591836735,0.39285714285714285,train_consistency_coral,2,96,1e-05,0.5,0.05,1680,980,0.9530971429564736,0.9375361149961298,0.0015500603582371366,0.2957201451063156,instance_contrastive_teacher_anchor,3,96,1e-05,1.0,0.5,0.2,0.2,1680,980,2.961688756942749,0.9337760269641876,4.055265998840332,0.0013983797747641803
MV-ACC-CIL discovery,R2,Day 3,5,980,5,5,0,1.0,1.0,0,5,0.0,0.4038568070204954,0.3271368586977498,0.5316326530612245,0.5316326530612245,Recording-Consensus-GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5408316262732097, 'silhouette': 0.209613636136055, 'balance': 0.8777206319918971, 'stability': 1.0, 'cluster_size_cv': 0.13931467889800242}, 'kmeans_graph': {'score': 0.30840336887610975, 'silhouette': 0.12338120490312576, 'balance': 0.6752930455713285, 'stability': 0.42194038826049957, 'cluster_size_cv': 0.4808385878666271}, 'agglomerative_joint': {'score': 0.4283688215175212, 'silhouette': 0.18023522198200226, 'balance': 0.7636178381181354, 'stability': 0.7060635272151714, 'cluster_size_cv': 0.30955557882776313}}",0.209613636136055,0.30789780616760254,0.6048068404197693,0.42116445302963257,0.05080012232065201,1.0,0.13931467889800242,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,18,91,0.673469387755102,0.32142857142857145,train_consistency_coral,2,96,1e-05,0.5,0.05,1680,980,1.1634410511363635,1.1528469324111938,0.0005105369994205169,0.20677683570168234,instance_contrastive_teacher_anchor,3,96,1e-05,1.0,0.5,0.2,0.2,1680,980,2.9811447143554686,1.15237877368927,3.6572241306304933,0.0007694052881561219
MV-ACC-CIL discovery,R3,Day 4,5,980,5,5,0,1.0,1.0,0,5,0.0,0.5523396679735252,0.45209684552063356,0.6020408163265306,0.5775510204081633,Recording-Consensus-GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5512078417501083, 'silhouette': 0.2583506107330322, 'balance': 0.7955750292347024, 'stability': 1.0, 'cluster_size_cv': 0.25695247242983815}, 'kmeans_graph': {'score': 0.3574463176772269, 'silhouette': 0.18332406878471375, 'balance': 0.7651672808079413, 'stability': 0.41433849473618434, 'cluster_size_cv': 0.3069037648134908}, 'agglomerative_joint': {'score': 0.4697487505413783, 'silhouette': 0.24864794313907623, 'balance': 0.7312220569734854, 'stability': 0.7469918816807571, 'cluster_size_cv': 0.36757362618269684}}",0.2583506107330322,0.35641810297966003,0.6291753053665161,0.46320027112960815,0.04390260949730873,1.0,0.25695247242983815,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,23,103,0.7653061224489796,0.42857142857142855,train_consistency_coral,2,96,1e-05,0.5,0.05,1680,980,1.4434056282043457,1.4389113838022405,0.0005537542403379285,0.08434753865003586,instance_contrastive_teacher_anchor,3,96,1e-05,1.0,0.5,0.2,0.2,1680,980,2.9597103118896486,1.3449743390083313,3.2291693687438965,0.0007565743813756854
