Round,Selected Ratio,Selected Source,Candidate Accepted,Rejected By,Cluster Count Delta,Silhouette Delta,Confidence Delta,Cluster Size CV Delta,Small Cluster Fraction Delta,Partition Agreement ARI,Source,Ratio,Min Cluster Size,Initial Cluster Count,Final Cluster Count,Label-free Silhouette,Raw HDBSCAN Confidence Mean,Cluster Size CV,Small Cluster Fraction
R1,0.03,anchor,False,adds_limited_clusters;silhouette_improves,0,0.0,-0.01672026928283199,0.0,0.0,1.0,anchor,0.03,92,10,11,0.32221221923828125,0.8245506641777449,0.6611923955751877,0.0
R1,0.03,anchor,False,adds_limited_clusters;silhouette_improves,0,0.0,-0.01672026928283199,0.0,0.0,1.0,candidate,0.02,62,10,11,0.32221221923828125,0.8078303948949129,0.6611923955751877,0.0
R2,0.03,anchor,False,cluster_balance_preserved;small_cluster_fraction_preserved,2,0.04599559307098389,-0.0003296420288583235,0.14555649441990381,0.13333333333333333,0.963456403409646,anchor,0.03,87,12,13,0.4274282455444336,0.7983263084813842,0.3455723915690042,0.0
R2,0.03,anchor,False,cluster_balance_preserved;small_cluster_fraction_preserved,2,0.04599559307098389,-0.0003296420288583235,0.14555649441990381,0.13333333333333333,0.963456403409646,candidate,0.02,58,15,15,0.4734238386154175,0.7979966664525259,0.491128885988908,0.13333333333333333
R3,0.03,anchor,False,cluster_balance_preserved,2,0.05559206008911133,-0.004604783783765387,0.20160372560567175,-0.04166666666666666,0.9173993327609715,anchor,0.03,73,6,6,0.19135215878486633,0.749933147717676,0.4410788744628026,0.16666666666666666
R3,0.03,anchor,False,cluster_balance_preserved,2,0.05559206008911133,-0.004604783783765387,0.20160372560567175,-0.04166666666666666,0.9173993327609715,candidate,0.02,49,8,8,0.24694421887397766,0.7453283639339107,0.6426826000684743,0.125
