Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Label-free Silhouette,Cluster Size Min,Cluster Size Median,Cluster Size Max,Cluster Size CV,Small Cluster Fraction,Raw HDBSCAN Confidence Mean
Deep-HDBSCAN discovery,R1,Day 2,10,3081,12,12,2,1.2,12,0.3430704316780266,0.6348193823719618,0.3719332036639326,0.9120553359683794,0.5881207400194742,0.3368115723133087,13,114.0,440,0.8456131230320345,0.3333333333333333,0.8694076861637267
Deep-HDBSCAN discovery,R2,Day 3,10,2911,7,7,3,0.7,7,0.27310202679491585,0.6647216180698361,0.42194051621109696,0.6880907372400756,0.5001717622810031,0.21602566540241241,86,197.0,747,0.797563289125127,0.2857142857142857,0.9223437548371278
Deep-HDBSCAN discovery,R3,Day 4,10,2448,10,10,0,1.0,10,0.33782679738562094,0.6365014725820857,0.3771394889428961,0.7995064774830352,0.4991830065359477,0.29332438111305237,11,157.0,327,0.6693979057028099,0.3,0.8109760440393475
