Method,Round,True New Classes,Final Cluster Count,NMI,ARI,Purity,Hungarian Acc,Cross-Day Adapter,Cross-Day Epochs,GPCC Backend,GPCC Target Clusters,GPCC Selected Candidate,GPCC Candidate Scores,GPCC Silhouette,GPCC Prototype Margin Mean,GPCC Silhouette Confidence Mean,GPCC Confidence Mean,GPCC Confidence Min,GPCC Cluster Stability,GPCC Cluster Size CV,GPCC Uses HDBSCAN
Stage11-none,R1,10,10,0.7648018023290466,0.6658657113981667,0.7977929243752029,0.7426160337552743,none,0,graph_prototype_controlled_clustering,10,kmeans_joint,"{'kmeans_joint': {'score': 0.5223497231822796, 'silhouette': 0.22087343037128448, 'balance': 0.7543466823903655, 'stability': 1.0, 'cluster_size_cv': 0.3256504248566602}, 'kmeans_graph': {'score': 0.3968926219412891, 'silhouette': 0.1846301406621933, 'balance': 0.7262664690771037, 'stability': 0.6003710030466483, 'cluster_size_cv': 0.37690509279705653}, 'agglomerative_joint': {'score': 0.4591129193643253, 'silhouette': 0.22003264725208282, 'balance': 0.7131539440966838, 'stability': 0.7818566982253721, 'cluster_size_cv': 0.4022217899483818}}",0.22087343037128448,0.3255847692489624,0.610436737537384,0.4338541626930237,0.0036522841546684504,1.0,0.3256504248566602,False
Stage11-none,R2,10,10,0.7584438679256478,0.6019695193222833,0.7540364136035727,0.709721745104775,none,0,graph_prototype_controlled_clustering,10,kmeans_joint,"{'kmeans_joint': {'score': 0.5103288679494555, 'silhouette': 0.21054477989673615, 'balance': 0.7226461950312535, 'stability': 1.0, 'cluster_size_cv': 0.3838030378846059}, 'kmeans_graph': {'score': 0.38536831302063645, 'silhouette': 0.1729947328567505, 'balance': 0.7271908726097271, 'stability': 0.5791321417099131, 'cluster_size_cv': 0.37515477389206114}, 'agglomerative_joint': {'score': 0.44461231856618044, 'silhouette': 0.20081590116024017, 'balance': 0.7285420058617934, 'stability': 0.7538206870227584, 'cluster_size_cv': 0.37260445101871453}}",0.21054477989673615,0.31339529156684875,0.6052723526954651,0.4247974753379822,0.03382405638694763,1.0,0.3838030378846059,False
Stage11-none,R3,10,10,0.7092727161204692,0.5033595849560322,0.7156862745098039,0.5923202614379085,none,0,graph_prototype_controlled_clustering,10,kmeans_joint,"{'kmeans_joint': {'score': 0.5200721233052916, 'silhouette': 0.2234770804643631, 'balance': 0.7357986452494595, 'stability': 1.0, 'cluster_size_cv': 0.3590674656121007}, 'kmeans_graph': {'score': 0.42748791492764204, 'silhouette': 0.19036585092544556, 'balance': 0.7925625450758221, 'stability': 0.6570967516139302, 'cluster_size_cv': 0.2617300757056756}, 'agglomerative_joint': {'score': 0.4808735437455347, 'silhouette': 0.210988387465477, 'balance': 0.7320256577586169, 'stability': 0.8736991963511956, 'cluster_size_cv': 0.3660723355816398}}",0.2234770804643631,0.3437206745147705,0.6117385029792786,0.44874686002731323,0.011403857730329037,1.0,0.3590674656121007,False
