Stage,Old Mass Threshold,Validation Accuracy
Initial,0.55,0.6392857142857142
Initial,0.65,0.6392857142857142
Initial,0.75,0.6392857142857142
Initial,0.85,0.6392857142857142
Initial,0.95,0.6392857142857142
After R1,0.55,0.42142857142857143
After R1,0.65,0.42142857142857143
After R1,0.75,0.42142857142857143
After R1,0.85,0.425
After R1,0.95,0.48214285714285715
After R2,0.55,0.45357142857142857
After R2,0.65,0.4607142857142857
After R2,0.75,0.45357142857142857
After R2,0.85,0.48928571428571427
After R2,0.95,0.49642857142857144
After R3,0.55,0.44285714285714284
After R3,0.65,0.3892857142857143
After R3,0.75,0.36428571428571427
After R3,0.85,0.42857142857142855
After R3,0.95,0.4357142857142857
