Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Assignment Coverage,Noise Points,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Discovery Backend,Oracle Discovery Diagnostic,Oracle Discovery Warning,GPCC Uses HDBSCAN,Refined Filter Kept,Refined Filter Total,Refined Filter Keep Rate,Refined Filter Agreement Rate,Refined Filter Mean Confidence,Refined Filter Fallback Classes
Joint discovery refinement,R1_refined,Day 2,5,980,5,5,0,1.0,1.0,0,5,0.0,1.0,1.0,1.0,1.0,oracle_diagnostic,True,uses current discovery true labels; upper bound only,False,980,980,1.0,1.0,1.0,0
Joint discovery refinement,R2_refined,Day 3,5,980,5,5,0,1.0,1.0,0,5,0.0,1.0,1.0,1.0,1.0,oracle_diagnostic,True,uses current discovery true labels; upper bound only,False,980,980,1.0,1.0,1.0,0
Joint discovery refinement,R3_refined,Day 4,5,980,5,5,0,1.0,1.0,0,5,0.0,1.0,1.0,1.0,1.0,oracle_diagnostic,True,uses current discovery true labels; upper bound only,False,980,980,1.0,1.0,1.0,0
