Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Assignment Coverage,Noise Points,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Discovery Backend,Discovery Feature Adapter,GPCC Backend,GPCC Target Clusters,GPCC Selected Candidate,GPCC Candidate Scores,GPCC Silhouette,GPCC Prototype Margin Mean,GPCC Silhouette Confidence Mean,GPCC Confidence Mean,GPCC Confidence Min,GPCC Cluster Stability,GPCC Cluster Size CV,GPCC Uses HDBSCAN
Joint discovery refinement,R1_refined,Day 2,5,490,5,5,0,1.0,1.0,0,5,0.0,0.24782383174260833,0.1951969704550901,0.4530612244897959,0.4530612244897959,GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5307274216700414, 'silhouette': 0.2132634073495865, 'balance': 0.8171627381388439, 'stability': 1.0, 'cluster_size_cv': 0.22374645015946665}, 'kmeans_graph': {'score': 0.4234515326549264, 'silhouette': 0.1726464480161667, 'balance': 0.8730137087375368, 'stability': 0.6155729779941096, 'cluster_size_cv': 0.14545738513785506}, 'agglomerative_joint': {'score': 0.45422563575706454, 'silhouette': 0.192880317568779, 'balance': 0.8388578499837797, 'stability': 0.7214795643899207, 'cluster_size_cv': 0.19209708774774673}}",0.2132634073495865,0.31368547677993774,0.6066316366195679,0.42520231008529663,0.03616255521774292,1.0,0.22374645015946665,False
Joint discovery refinement,R2_refined,Day 3,5,490,5,5,0,1.0,1.0,0,5,0.0,0.20025661767078737,0.1414683463033628,0.38979591836734695,0.37551020408163266,GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5283468616534217, 'silhouette': 0.19954577088356018, 'balance': 0.842983438337318, 'stability': 1.0, 'cluster_size_cv': 0.18626292584392642}, 'kmeans_graph': {'score': 0.3442022547280522, 'silhouette': 0.13760487735271454, 'balance': 0.746526661233437, 'stability': 0.4768569597494873, 'cluster_size_cv': 0.33953688719940106}, 'agglomerative_joint': {'score': 0.41122563307870613, 'silhouette': 0.18406923115253448, 'balance': 0.7389328334467506, 'stability': 0.648803957021848, 'cluster_size_cv': 0.3533029725252591}}",0.19954577088356018,0.2943263351917267,0.5997728705406189,0.4084741771221161,0.04730081558227539,1.0,0.18626292584392642,False
Joint discovery refinement,R3_refined,Day 4,5,490,5,5,0,1.0,1.0,0,5,0.0,0.3969296010401751,0.352908851304677,0.5489795918367347,0.5489795918367347,GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5341144299706848, 'silhouette': 0.24198217689990997, 'balance': 0.7551211633786711, 'stability': 1.0, 'cluster_size_cv': 0.32429078735610717}, 'kmeans_graph': {'score': 0.33834021044753504, 'silhouette': 0.15558765828609467, 'balance': 0.7144611423500656, 'stability': 0.43949907968067947, 'cluster_size_cv': 0.39965624541975225}, 'agglomerative_joint': {'score': 0.44750174973553614, 'silhouette': 0.24648723006248474, 'balance': 0.6652763735470713, 'stability': 0.715513993967021, 'cluster_size_cv': 0.5031346967400543}}",0.24198217689990997,0.34528204798698425,0.6209911108016968,0.4525359570980072,0.08951610326766968,1.0,0.32429078735610717,False
