Method,Stage,Seen Classes,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
LoRa physical-descriptor proto,Initial,10,840,0.18333333333333332,0.18333333333333332,,0.18333333333333332,0.0,0.16821700761420916
LoRa physical-descriptor proto,After R1,15,1260,0.08888888888888889,0.07261904761904762,0.12142857142857143,0.07261904761904762,0.1107142857142857,0.07412554418829255
LoRa physical-descriptor proto,After R2,20,1680,0.08035714285714286,0.07222222222222222,0.10476190476190476,0.06547619047619048,0.11785714285714284,0.06554129239496306
LoRa physical-descriptor proto,After R3,25,2100,0.05333333333333334,0.05892857142857143,0.030952380952380953,0.04880952380952381,0.13452380952380952,0.040720298682673
