dim1,dim2,operational_label,is_current_round
-1.315929698944091797e+01,-5.546998023986816406e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.476766109466552734e+01,-7.799266338348388672e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.733163642883300781e+01,-1.029364013671875000e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.712796974182128906e+01,-1.010103511810302734e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.485328960418701172e+01,-7.892223834991455078e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.738174247741699219e+01,-1.037908935546875000e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.348099327087402344e+01,-6.269810199737548828e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.731245422363281250e+01,-1.059011077880859375e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.399662494659423828e+01,-6.926941871643066406e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.475493812561035156e+01,-7.770000934600830078e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.287293243408203125e+01,-5.661810398101806641e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.452281379699707031e+01,-7.517856597900390625e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.312933826446533203e+01,-5.602889060974121094e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.287566184997558594e+01,-5.548942089080810547e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.694801139831542969e+01,-1.043251228332519531e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.630251693725585938e+01,-9.409422874450683594e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.690568923950195312e+01,-9.953307151794433594e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.692550086975097656e+01,-1.009222984313964844e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.736542320251464844e+01,-1.049556446075439453e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.314836120605468750e+01,-5.550494194030761719e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.663792800903320312e+01,-9.837788581848144531e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.294546985626220703e+01,-5.799595355987548828e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.662056922912597656e+01,-9.736150741577148438e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.290209197998046875e+01,-5.829129219055175781e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.283771800994873047e+01,-5.478315830230712891e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.737189865112304688e+01,-1.049444293975830078e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.491906070709228516e+01,-7.957337379455566406e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.322000217437744141e+01,-5.999695301055908203e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.649188804626464844e+01,-9.600991249084472656e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.505391883850097656e+01,-8.130433082580566406e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.713004493713378906e+01,-1.039404869079589844e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.328578662872314453e+01,-6.067839622497558594e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.730021858215332031e+01,-1.060484218597412109e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.343719482421875000e+01,-6.216523647308349609e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.288800525665283203e+01,-5.272213459014892578e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.352972984313964844e+01,1.956131935119628906e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.394586372375488281e+01,1.471641898155212402e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.695166587829589844e+01,-1.713939189910888672e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.554120159149169922e+01,-3.341606259346008301e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.474973201751708984e+01,5.295022130012512207e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.375680351257324219e+01,1.702263593673706055e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.784024238586425781e+01,-2.316266536712646484e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.542590618133544922e+01,-2.178400754928588867e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.438139152526855469e+01,9.610049724578857422e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.815234756469726562e+01,-2.636964559555053711e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.745046615600585938e+01,-2.186828851699829102e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.750326919555664062e+01,-2.417525291442871094e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.765854072570800781e+01,-2.575261354446411133e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.342413043975830078e+01,2.015723705291748047e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.503851509094238281e+01,2.006224393844604492e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.736448287963867188e+01,-2.089627504348754883e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.352969646453857422e+01,1.956543684005737305e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.543135547637939453e+01,-2.222410589456558228e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.470613670349121094e+01,5.806087851524353027e-01,1.000000000000000000e+00,0.000000000000000000e+00
