Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Assignment Coverage,Noise Points,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Discovery Backend,Discovery Feature Adapter,DFA Smooth K,DFA Smooth Weight,DFA Repulsion Weight,DFA Known Samples,DFA Known Classes,DFA Mean Nearest Known Cosine,DFA Output Dim,GPCC Backend,GPCC Target Clusters,GPCC Selected Candidate,GPCC Candidate Scores,GPCC Silhouette,GPCC Prototype Margin Mean,GPCC Silhouette Confidence Mean,GPCC Confidence Mean,GPCC Confidence Min,GPCC Cluster Stability,GPCC Cluster Size CV,GPCC Uses HDBSCAN
MV-ACC-CIL discovery,R1,Day 2,5,490,5,5,0,1.0,1.0,0,5,0.0,0.11945892475105648,0.081966937340941,0.3836734693877551,0.3816326530612245,GPCC,proto_repulse,12,0.2,0.15,840,10,0.8340299129486084,128,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.499058699646897, 'silhouette': 0.16950581967830658, 'balance': 0.779152494119142, 'stability': 1.0, 'cluster_size_cv': 0.28344580495828786}, 'kmeans_graph': {'score': 0.39991829014345304, 'silhouette': 0.1428365856409073, 'balance': 0.8105301851947907, 'stability': 0.6370085240079834, 'cluster_size_cv': 0.2337603438663731}, 'agglomerative_joint': {'score': 0.31136840242123826, 'silhouette': 0.15276876091957092, 'balance': 0.5613156708555946, 'stability': 0.46032979897742127, 'cluster_size_cv': 0.7815287402821546}}",0.16950581967830658,0.24864351749420166,0.5847529172897339,0.36900794506073,0.07042023539543152,1.0,0.28344580495828786,False
MV-ACC-CIL discovery,R2,Day 3,5,490,5,5,0,1.0,1.0,0,5,0.0,0.06491119516018651,0.04773350476325157,0.3224489795918367,0.3142857142857143,GPCC,proto_repulse,12,0.2,0.15,840,10,0.7907230854034424,128,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.47857071945917795, 'silhouette': 0.16331170499324799, 'balance': 0.693746408564458, 'stability': 1.0, 'cluster_size_cv': 0.4414489035975845}, 'kmeans_graph': {'score': 0.3465046172062018, 'silhouette': 0.1254437267780304, 'balance': 0.6900525083452079, 'stability': 0.5580002632369739, 'cluster_size_cv': 0.4491650822313027}, 'agglomerative_joint': {'score': 0.3182672600423664, 'silhouette': 0.16414803266525269, 'balance': 0.6543253795542441, 'stability': 0.3884830646625142, 'cluster_size_cv': 0.5282916286714189}}",0.16331170499324799,0.24458326399326324,0.5816558003425598,0.36218947172164917,0.0504155308008194,1.0,0.4414489035975845,False
MV-ACC-CIL discovery,R3,Day 4,5,490,5,5,0,1.0,1.0,0,5,0.0,0.2871969473730347,0.20145318850593927,0.4714285714285714,0.4673469387755102,GPCC,proto_repulse,12,0.2,0.15,840,10,0.8036332130432129,128,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5218712025925211, 'silhouette': 0.21424762904644012, 'balance': 0.7701750330848951, 'stability': 1.0, 'cluster_size_cv': 0.2984061506052115}, 'kmeans_graph': {'score': 0.2844014149664478, 'silhouette': 0.11931713670492172, 'balance': 0.6226828122552381, 'stability': 0.3769617093107727, 'cluster_size_cv': 0.6059540753633316}, 'agglomerative_joint': {'score': 0.4464348024455439, 'silhouette': 0.21472451090812683, 'balance': 0.6786582056896977, 'stability': 0.7704187212325384, 'cluster_size_cv': 0.47349577683766964}}",0.21424762904644012,0.3052300810813904,0.6071237921714783,0.41948434710502625,0.043606989085674286,1.0,0.2984061506052115,False
