Method,R1 Acc,R1 Forgetting,R2 Acc,R2 Forgetting,R3 Acc,R3 Forgetting,Avg Acc,Avg Forgetting
Ft-CNN,0.6127777777777778,0.7,0.42444444444444446,0.76,0.29694444444444446,0.9588888888888889,0.44472222222222224,0.8062962962962962
LwF,0.6333333333333333,0.638888888888889,0.42777777777777776,0.64,0.31083333333333335,0.9422222222222223,0.4573148148148148,0.7403703703703703
iCaRL,0.915,0.10111111111111115,0.8592592592592593,0.1511111111111112,0.7,0.12888888888888894,0.8247530864197531,0.1270370370370371
EEIL,0.7022222222222222,0.5144444444444445,0.5192592592592593,0.49888888888888894,0.46416666666666667,0.6222222222222222,0.5618827160493828,0.5451851851851852
TPCIL-style,0.9177777777777778,0.09444444444444444,0.8607407407407407,0.14777777777777779,0.6908333333333333,0.13444444444444448,0.8231172839506172,0.12555555555555556
DOI-style,0.9222222222222223,0.10000000000000009,0.8618518518518519,0.15888888888888897,0.6983333333333334,0.13555555555555554,0.8274691358024692,0.13148148148148153
Ours (MV-ACC),0.8533333333333334,0.09333333333333338,0.7718518518518519,0.13111111111111118,0.6327777777777778,0.13888888888888895,0.7526543209876544,0.12111111111111117
