Round,Selected Ratio,Selected Source,Candidate Accepted,Rejected By,Cluster Count Delta,Silhouette Delta,Confidence Delta,Cluster Size CV Delta,Small Cluster Fraction Delta,Partition Agreement ARI,Source,Ratio,Min Cluster Size,Initial Cluster Count,Final Cluster Count,Label-free Silhouette,Raw HDBSCAN Confidence Mean,Cluster Size CV,Small Cluster Fraction
R1,0.03,anchor,False,adds_limited_clusters;silhouette_improves,0,0.0,-0.024705676308107716,0.0,0.0,1.0,anchor,0.03,92,9,12,0.3315747380256653,0.8316098797095128,0.7217900683961983,0.0
R1,0.03,anchor,False,adds_limited_clusters;silhouette_improves,0,0.0,-0.024705676308107716,0.0,0.0,1.0,candidate,0.02,62,10,12,0.3315747380256653,0.8069042034014051,0.7217900683961983,0.0
R2,0.02,candidate,True,,2,0.09883122146129608,0.05713932940921573,0.019862981761472276,0.09090909090909091,0.8622734513976414,anchor,0.03,87,10,9,0.24361689388751984,0.668650700823259,0.43155600389112214,0.0
R2,0.02,candidate,True,,2,0.09883122146129608,0.05713932940921573,0.019862981761472276,0.09090909090909091,0.8622734513976414,candidate,0.02,58,13,11,0.3424481153488159,0.7257900302324747,0.4514189856525944,0.09090909090909091
R3,0.03,anchor,False,silhouette_improves;confidence_preserved;small_cluster_fraction_preserved,1,0.021979406476020813,-0.03670466793880889,0.08133164062012832,0.10714285714285715,0.9603084683426544,anchor,0.03,73,7,7,0.2496941238641739,0.8432675829873064,0.5630706270209028,0.14285714285714285
R3,0.03,anchor,False,silhouette_improves;confidence_preserved;small_cluster_fraction_preserved,1,0.021979406476020813,-0.03670466793880889,0.08133164062012832,0.10714285714285715,0.9603084683426544,candidate,0.02,49,9,8,0.2716735303401947,0.8065629150484975,0.6444022676410311,0.25
