Method,Round,Cluster Count,Incremental Pseudo-label Classes,Cluster Count Error,Sample Coverage,Purity,NMI,ARI,Hungarian Acc,Overall Acc,New Acc,Forgetting Rate
MV-ACC-CIL,R1,11,11,1,1.0,0.8136968516715353,0.8211427904116365,0.6433316696484536,0.6910094125283999,0.5378935636667596,0.621,0.08837811589511169
MV-ACC-CIL,R2,12,12,2,1.0,0.9292339402267262,0.8730889671935189,0.7964111681425375,0.8323600137409825,0.5387625336268036,0.749,0.10262220783425058
MV-ACC-CIL,R3,10,10,0,1.0,0.7475490196078431,0.7631906408595428,0.575483020210296,0.6168300653594772,0.489213336238832,0.449,0.11994172871479447
