Stage,Fusion Weight,Validation Accuracy
Initial,0.0,0.5428571428571428
Initial,0.25,0.55
Initial,0.5,0.5571428571428572
Initial,0.75,0.5571428571428572
Initial,1.0,0.6071428571428571
After R1,0.0,0.2
After R1,0.25,0.2
After R1,0.5,0.22142857142857142
After R1,0.75,0.2357142857142857
After R1,1.0,0.25
After R2,0.0,0.17857142857142858
After R2,0.25,0.18571428571428572
After R2,0.5,0.20714285714285716
After R2,0.75,0.24285714285714285
After R2,1.0,0.30714285714285716
After R3,0.0,0.1357142857142857
After R3,0.25,0.14285714285714285
After R3,0.5,0.15714285714285714
After R3,0.75,0.17857142857142858
After R3,1.0,0.22142857142857142
