Method,Discovery Module,Incremental Module,R1 Acc,R1 Forgetting,R2 Acc,R2 Forgetting,R3 Acc,R3 Forgetting,Avg Acc,Avg Forgetting
Deep-HDBSCAN + Ft-CNN,Deep embedding + HDBSCAN,Fine-tuning,0.3349206349206349,0.13571428571428573,0.24047619047619048,0.12142857142857144,0.19142857142857142,0.14761904761904765,0.25560846560846556,0.13492063492063494
Deep-HDBSCAN + LwF,Deep embedding + HDBSCAN,Knowledge distillation,0.33174603174603173,0.13333333333333336,0.2571428571428571,0.10952380952380952,0.18857142857142858,0.14761904761904765,0.25915343915343914,0.13015873015873017
Deep-HDBSCAN + iCaRL,Deep embedding + HDBSCAN,Exemplar replay + prototype classifier,0.36507936507936506,0.07380952380952377,0.29523809523809524,0.07380952380952377,0.2038095238095238,0.17857142857142855,0.28804232804232804,0.10873015873015869
Deep-HDBSCAN + EEIL,Deep embedding + HDBSCAN,Replay + distillation,0.33174603174603173,0.14761904761904765,0.25595238095238093,0.10714285714285715,0.21047619047619048,0.09047619047619049,0.26605820105820105,0.1150793650793651
Deep-HDBSCAN + TPCIL-style,Deep embedding + HDBSCAN,Topology-aware prototype smoothing,0.36507936507936506,0.05476190476190479,0.30238095238095236,0.042857142857142816,0.20095238095238097,0.16904761904761906,0.2894708994708995,0.08888888888888889
Deep-HDBSCAN + DOI-style,Deep embedding + HDBSCAN,DOI-inspired prototype preservation/alignment,0.3619047619047619,0.0714285714285714,0.2976190476190476,0.06904761904761902,0.20952380952380953,0.1833333333333333,0.2896825396825397,0.1079365079365079
MV-ACC-CIL,SupCon deep/RF graphs + adaptive fusion + HDBSCAN,Network replay + distillation,0.3619047619047619,0.1952380952380952,0.33690476190476193,0.1261904761904762,0.2704761904761905,0.24285714285714283,0.3230952380952381,0.1880952380952381
