Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Assignment Coverage,Noise Points,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Label-free Silhouette,Cluster Size Min,Cluster Size Median,Cluster Size Max,Cluster Size CV,Small Cluster Fraction,Raw HDBSCAN Confidence Mean,Discovery Backend,Discovery Feature Adapter,DFA Smooth K,DFA Smooth Weight,DFA Repulsion Weight,DFA Known Samples,DFA Known Classes,DFA Output Dim,GPCC Backend,GPCC Target Clusters,GPCC Selected Candidate,GPCC Candidate Scores,GPCC Silhouette,GPCC Prototype Margin Mean,GPCC Silhouette Confidence Mean,GPCC Confidence Mean,GPCC Confidence Min,GPCC Cluster Stability,GPCC Cluster Size CV,GPCC Uses HDBSCAN
MV-ACC-CIL discovery,R1,Day 2,10,3081,10,10,0,1.0,1.0,0,10,0.0,0.8370951420643626,0.763557373319131,0.8763388510223953,0.8172671210645894,0.2563461661338806,144,321.5,467,0.33241556273200074,0.1,0.496448088710277,GPCC,mn_smooth,12,0.2,0.15,14388,90,128,graph_prototype_controlled_clustering,10,kmeans_joint,"{'kmeans_joint': {'score': 0.5556038768406916, 'silhouette': 0.28272828459739685, 'balance': 0.7505166015606164, 'stability': 1.0, 'cluster_size_cv': 0.33241556272121153}, 'kmeans_graph': {'score': 0.4483408446957219, 'silhouette': 0.25272485613822937, 'balance': 0.7237958958747148, 'stability': 0.658331978579011, 'cluster_size_cv': 0.38160496032032576}, 'agglomerative_joint': {'score': 0.513474301427867, 'silhouette': 0.2999475598335266, 'balance': 0.6792099588690894, 'stability': 0.8506446069824378, 'cluster_size_cv': 0.47229878911822526}}",0.28272828459739685,0.39665302634239197,0.6413640975952148,0.4964480698108673,0.008755112998187542,1.0,0.33241556272121153,False
MV-ACC-CIL discovery,R2,Day 3,10,2911,10,10,0,1.0,1.0,0,10,0.0,0.8339358146691331,0.7017740070901656,0.8155273102026795,0.7701820680178633,0.28448668122291565,125,260.0,582,0.42080973639432984,0.1,0.5054774268161427,GPCC,mn_smooth,12,0.2,0.15,14388,90,128,graph_prototype_controlled_clustering,10,kmeans_joint,"{'kmeans_joint': {'score': 0.5515240400392547, 'silhouette': 0.29228952527046204, 'balance': 0.7038240057025029, 'stability': 1.0, 'cluster_size_cv': 0.420809736379874}, 'kmeans_graph': {'score': 0.4969379514996445, 'silhouette': 0.2786218225955963, 'balance': 0.682431046964872, 'stability': 0.8288389587163684, 'cluster_size_cv': 0.465349509591516}, 'agglomerative_joint': {'score': 0.5314946292734404, 'silhouette': 0.2942923307418823, 'balance': 0.7151070218129524, 'stability': 0.9064497720112584, 'cluster_size_cv': 0.39839208607514676}}",0.29228952527046204,0.40497806668281555,0.6461447477340698,0.5054774284362793,0.031266335397958755,1.0,0.420809736379874,False
MV-ACC-CIL discovery,R3,Day 4,10,2448,10,10,0,1.0,1.0,0,10,0.0,0.7305947856960947,0.5404367573064672,0.7140522875816994,0.6111111111111112,0.30932343006134033,161,217.0,393,0.3351008023536343,0.0,0.48385731715197655,GPCC,mn_smooth,12,0.2,0.15,14388,90,128,graph_prototype_controlled_clustering,10,kmeans_joint,"{'kmeans_joint': {'score': 0.5466568756275605, 'silhouette': 0.2670099139213562, 'balance': 0.7490071148540726, 'stability': 1.0, 'cluster_size_cv': 0.33510080233994555}, 'kmeans_graph': {'score': 0.46494262677411224, 'silhouette': 0.24721252918243408, 'balance': 0.8062130522766551, 'stability': 0.6709325010737696, 'cluster_size_cv': 0.2403669193597305}, 'agglomerative_joint': {'score': 0.506888472488426, 'silhouette': 0.2559787929058075, 'balance': 0.7222424411979473, 'stability': 0.8866065926025694, 'cluster_size_cv': 0.38457662269382864}}",0.2670099139213562,0.382005900144577,0.6335049867630005,0.48385730385780334,0.017511582002043724,1.0,0.33510080233994555,False
