Setting,Method,Input_samples,Input_class_coverage,Accepted_class_coverage,Feature_dim,Merging,Merge_threshold,Merge_operations,NMI,ARI,Homogeneity,Completeness,V_measure,Purity,Num_clusters,Noise_ratio,CQS,Accepted_clusters,Accepted_samples,Accepted_sample_ratio,Accepted_purity,Reliable_ratio,RQS
No VUP,No VUP + Graph HDBSCAN,1000,10,10,16,False,,,0.7618234691221979,0.5818569959517332,0.8391940591289808,0.6975151507263528,0.7618234691221978,0.9500567536889898,17,0.119,0.6735941632433777,17,881,0.881,0.9500567536889898,1.0,0.837
No VUP,No VUP + Graph Merge,1000,10,10,16,True,0.4,4.0,0.7902294233001115,0.6622148698618983,0.8351255483322759,0.7499142355423611,0.7902294233001114,0.9500567536889898,13,0.119,0.7055344740919102,13,881,0.881,0.9500567536889898,1.0,0.837
VUP Embedding,VUP Embedding + Graph HDBSCAN,1000,10,10,16,False,,,0.6915960331243999,0.45226367759616115,0.7757471111403289,0.6239152861791556,0.6915960331243998,0.9398315282791817,21,0.169,0.5771824732029287,21,831,0.831,0.9398315282791817,1.0,0.7809999999999999
VUP Embedding,VUP Embedding + Graph Merge,1000,10,10,16,True,0.4,6.0,0.6892963169106961,0.46527101686147937,0.7393428508262848,0.6455955880068717,0.6892963169106963,0.8953068592057761,15,0.169,0.5678151514548926,13,665,0.665,0.9398496240601504,0.8666666666666667,0.625
VUP Filtering,VUP Filtering + Graph HDBSCAN,700,10,10,16,False,,,0.7382620375537505,0.5871391140122117,0.8054220448825666,0.6814402364096153,0.7382620375537504,0.9289176090468497,16,0.11571428571428571,0.6644872918187289,16,619,0.8842857142857142,0.9289176090468497,1.0,0.8214285714285714
VUP Filtering,VUP Filtering + Graph Merge,700,10,10,16,True,0.4,4.0,0.7658181571155372,0.6533556763362154,0.8012865501136107,0.7333566346766925,0.7658181571155374,0.9289176090468497,12,0.11571428571428571,0.6921279061460166,12,619,0.8842857142857142,0.9289176090468497,1.0,0.8214285714285714
