Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Assignment Coverage,Noise Points,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Discovery Backend,Discovery Feature Adapter,GPCC Backend,GPCC Target Clusters,GPCC Selected Candidate,GPCC Candidate Scores,GPCC Silhouette,GPCC Prototype Margin Mean,GPCC Silhouette Confidence Mean,GPCC Confidence Mean,GPCC Confidence Min,GPCC Cluster Stability,GPCC Cluster Size CV,GPCC Uses HDBSCAN,Recording-Consensus Backend,Recording-Consensus Groups,Recording-Consensus Threshold,Recording-Consensus Accepted Groups,Recording-Consensus Changed Samples,Recording-Consensus Mean Consistency,Recording-Consensus Min Consistency
Joint discovery refinement,R1_refined,Day 2,5,490,5,5,0,1.0,1.0,0,5,0.0,0.396429583739145,0.34236835656730125,0.563265306122449,0.5326530612244897,Recording-Consensus-GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5206852334305991, 'silhouette': 0.2047114223241806, 'balance': 0.7904697557614987, 'stability': 1.0, 'cluster_size_cv': 0.2650705390197384}, 'kmeans_graph': {'score': 0.3246464756051639, 'silhouette': 0.1325160712003708, 'balance': 0.6884942840792961, 'stability': 0.4562551185164031, 'cluster_size_cv': 0.45244488316598247}, 'agglomerative_joint': {'score': 0.4210754724339594, 'silhouette': 0.21434542536735535, 'balance': 0.7635296078722575, 'stability': 0.6019182676298496, 'cluster_size_cv': 0.30970690552095154}}",0.2047114223241806,0.31708604097366333,0.6023557186126709,0.4263383448123932,0.054560475051403046,1.0,0.2650705390197384,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,15,41,0.6306122448979592,0.35714285714285715
Joint discovery refinement,R2_refined,Day 3,5,490,5,5,0,1.0,1.0,0,5,0.0,0.28038684111302226,0.2363986894208611,0.4816326530612245,0.47551020408163264,Recording-Consensus-GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5035545984787597, 'silhouette': 0.20298855006694794, 'balance': 0.7095544797096915, 'stability': 1.0, 'cluster_size_cv': 0.4093350526222339}, 'kmeans_graph': {'score': 0.32537298327041403, 'silhouette': 0.13743995130062103, 'balance': 0.7366997236786282, 'stability': 0.40976426127738724, 'cluster_size_cv': 0.3574051514592826}, 'agglomerative_joint': {'score': 0.37311499821846955, 'silhouette': 0.16212069988250732, 'balance': 0.7629040170496415, 'stability': 0.5254712394926488, 'cluster_size_cv': 0.3107808815416564}}",0.20298855006694794,0.3040821850299835,0.6014942526817322,0.41815391182899475,0.04969291761517525,1.0,0.4093350526222339,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,12,27,0.6204081632653061,0.2857142857142857
Joint discovery refinement,R3_refined,Day 4,5,490,5,5,0,1.0,1.0,0,5,0.0,0.5934629750848756,0.5294743800404178,0.6795918367346939,0.6755102040816326,Recording-Consensus-GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5300132864227742, 'silhouette': 0.22644682228565216, 'balance': 0.7773376708283277, 'stability': 1.0, 'cluster_size_cv': 0.28644222135073444}, 'kmeans_graph': {'score': 0.32576659824387766, 'silhouette': 0.13087345659732819, 'balance': 0.7554511499635731, 'stability': 0.4107838684905302, 'cluster_size_cv': 0.32371232745918616}, 'agglomerative_joint': {'score': 0.4466195957642512, 'silhouette': 0.20861835777759552, 'balance': 0.7395134744230702, 'stability': 0.7359072164078384, 'cluster_size_cv': 0.3522404047879557}}",0.22644682228565216,0.31252583861351013,0.6132234334945679,0.4295957088470459,0.07812788337469101,1.0,0.28644222135073444,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,23,61,0.7265306122448979,0.35714285714285715
