Method,R1 Acc,R1 Forgetting,R2 Acc,R2 Forgetting,R3 Acc,R3 Forgetting,Avg Acc,Avg Forgetting
Ft-CNN,0.3253968253968254,0.09523809523809523,0.2369047619047619,0.10952380952380952,0.1838095238095238,0.1738095238095238,0.24870370370370373,0.1261904761904762
LwF,0.33174603174603173,0.04999999999999999,0.26666666666666666,0.12380952380952381,0.16476190476190475,0.18571428571428572,0.2543915343915344,0.11984126984126985
iCaRL,0.37936507936507935,0.08809523809523806,0.34404761904761905,0.04047619047619044,0.25142857142857145,0.16190476190476188,0.32494708994708993,0.0968253968253968
EEIL,0.31746031746031744,0.13095238095238093,0.2916666666666667,0.07857142857142857,0.21333333333333335,0.10952380952380952,0.2741534391534392,0.10634920634920635
TPCIL-style,0.39206349206349206,0.05476190476190479,0.3488095238095238,0.02619047619047621,0.23523809523809525,0.16190476190476188,0.32537037037037037,0.08095238095238096
DOI-style,0.37142857142857144,0.10238095238095235,0.3464285714285714,0.042857142857142816,0.25333333333333335,0.16428571428571426,0.3237301587301587,0.10317460317460314
MV-ACC-CIL,0.2492063492063492,0.23333333333333336,0.2892857142857143,0.10476190476190478,0.21142857142857144,0.21904761904761905,0.249973544973545,0.18571428571428572
