Method,Stage,Seen Classes,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
LoRa cumulative pseudo-label retrain,Initial,10,840,0.34285714285714286,0.34285714285714286,,0.34285714285714286,0.0,0.27586874263621886
LoRa cumulative pseudo-label retrain,After R1,15,1260,0.2619047619047619,0.1976190476190476,0.3904761904761905,0.1976190476190476,0.14523809523809525,0.1703986941666457
LoRa cumulative pseudo-label retrain,After R2,20,1680,0.28035714285714286,0.32301587301587303,0.1523809523809524,0.4238095238095238,-0.08095238095238094,0.2317101036663844
LoRa cumulative pseudo-label retrain,After R3,25,2100,0.10285714285714286,0.1261904761904762,0.009523809523809525,0.15119047619047618,0.19166666666666668,0.06271314579899091
