Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Label-free Silhouette,Cluster Size Min,Cluster Size Median,Cluster Size Max,Cluster Size CV,Small Cluster Fraction,Raw HDBSCAN Confidence Mean
Deep-HDBSCAN discovery,R1,Day 2,10,3081,5,5,5,0.5,5,0.19117169750081142,0.5837816775030348,0.3850856622630035,0.5674157303370787,0.45894190197987667,0.13343197107315063,50,390.0,982,0.7138906332485481,0.2,0.9375619479061739
Deep-HDBSCAN discovery,R2,Day 3,10,2911,10,10,0,1.0,10,0.3565784953624184,0.6570956015500077,0.33965792789802457,0.8451681793913508,0.5389900377877018,0.3065657615661621,52,180.5,456,0.5938912469744967,0.2,0.8606938175961125
Deep-HDBSCAN discovery,R3,Day 4,10,2448,9,9,1,0.9,9,0.28921568627450983,0.6398404416166386,0.40642296764419206,0.6770114942528735,0.4338235294117647,0.2049592137336731,11,86.0,645,1.1420432489191914,0.2222222222222222,0.9169220018669073
