Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Assignment Coverage,Noise Points,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Label-free Silhouette,Cluster Size Min,Cluster Size Median,Cluster Size Max,Cluster Size CV,Small Cluster Fraction,Raw HDBSCAN Confidence Mean,Discovery Backend,Discovery Feature Adapter,GPCC Backend,GPCC Target Clusters,GPCC Selected Candidate,GPCC Candidate Scores,GPCC Silhouette,GPCC Prototype Margin Mean,GPCC Silhouette Confidence Mean,GPCC Confidence Mean,GPCC Confidence Min,GPCC Cluster Stability,GPCC Cluster Size CV,GPCC Uses HDBSCAN
MV-ACC-CIL discovery,R1,Day 2,10,3081,10,10,0,1.0,1.0,0,10,0.0,0.8778392694792228,0.8358747310301216,0.9123661148977604,0.9123661148977604,0.303895503282547,107,320.0,553,0.4635023594305828,0.2,0.5014240503684775,GPCC,none,graph_prototype_controlled_clustering,10,kmeans_joint,"{'kmeans_joint': {'score': 0.5417410863319632, 'silhouette': 0.2819683849811554, 'balance': 0.6832923729616383, 'stability': 1.0, 'cluster_size_cv': 0.4635023594155389}, 'kmeans_graph': {'score': 0.5164076201189717, 'silhouette': 0.2672423720359802, 'balance': 0.7214002189373467, 'stability': 0.9005770868468526, 'cluster_size_cv': 0.3861930919192713}, 'agglomerative_joint': {'score': 0.5262057719499214, 'silhouette': 0.27765965461730957, 'balance': 0.6732322846230062, 'stability': 0.9553860199431992, 'cluster_size_cv': 0.4853714280205321}}",0.2819683849811554,0.40238749980926514,0.6409841775894165,0.5014240145683289,0.02934066392481327,1.0,0.4635023594155389,False
MV-ACC-CIL discovery,R2,Day 3,10,2911,10,10,0,1.0,1.0,0,10,0.0,0.8309536520434133,0.6997490164918305,0.8138096873926486,0.7684644452078324,0.30539312958717346,127,259.0,568,0.409095639858643,0.1,0.4839952077706351,GPCC,none,graph_prototype_controlled_clustering,10,kmeans_joint,"{'kmeans_joint': {'score': 0.5393329293307085, 'silhouette': 0.267996221780777, 'balance': 0.7096750367564056, 'stability': 1.0, 'cluster_size_cv': 0.4090956398445895}, 'kmeans_graph': {'score': 0.48572471188534155, 'silhouette': 0.24961602687835693, 'balance': 0.6908479633074144, 'stability': 0.8410652177630494, 'cluster_size_cv': 0.44749648708889483}, 'agglomerative_joint': {'score': 0.4822374631543961, 'silhouette': 0.2607441842556, 'balance': 0.7501352673769764, 'stability': 0.7552044333536831, 'cluster_size_cv': 0.3330929013599561}}",0.267996221780777,0.3798994719982147,0.6339981555938721,0.483995258808136,0.025914637371897697,1.0,0.4090956398445895,False
MV-ACC-CIL discovery,R3,Day 4,10,2448,10,10,0,1.0,1.0,0,10,0.0,0.7406172616543373,0.5539862186428092,0.735702614379085,0.6286764705882353,0.28537988662719727,135,221.5,391,0.34180608583832695,0.0,0.46394195621894074,GPCC,none,graph_prototype_controlled_clustering,10,kmeans_joint,"{'kmeans_joint': {'score': 0.5340723093926208, 'silhouette': 0.2454899549484253, 'balance': 0.7452641708549347, 'stability': 1.0, 'cluster_size_cv': 0.3418060858243642}, 'kmeans_graph': {'score': 0.44972372850137443, 'silhouette': 0.2256077229976654, 'balance': 0.7977973947921384, 'stability': 0.664320007576923, 'cluster_size_cv': 0.2534510723246275}, 'agglomerative_joint': {'score': 0.45910105688032077, 'silhouette': 0.2545120418071747, 'balance': 0.6730343575333874, 'stability': 0.7380502495187886, 'cluster_size_cv': 0.4858082485787402}}",0.2454899549484253,0.3595372140407562,0.6227449774742126,0.46394193172454834,0.008498292416334152,1.0,0.3418060858243642,False
