Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
MV-ACC-CIL,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9977777777777778,0.9977777777777778,,0.9977777777777778,0.0,0.9977777434831665
MV-ACC-CIL,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,10,10,1800,0.9005555555555556,0.8722222222222222,0.9288888888888889,0.8722222222222222,0.12555555555555553,0.8942463210158849
MV-ACC-CIL,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,10,10,2700,0.8388888888888889,0.7938888888888889,0.9288888888888889,0.6888888888888889,0.3088888888888889,0.8249251221137696
MV-ACC-CIL,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,10,10,3600,0.725,0.6396296296296297,0.9811111111111112,0.67,0.3277777777777777,0.6886490528388605
