Method,Discovery Module,Incremental Module,R1 Acc,R1 Forgetting,R2 Acc,R2 Forgetting,R3 Acc,R3 Forgetting,Avg Acc,Avg Forgetting
Deep-HDBSCAN + Ft-CNN,Deep embedding + HDBSCAN,Fine-tuning,0.47,0.6855555555555556,0.36777777777777776,0.7944444444444445,0.23333333333333334,0.9022222222222223,0.35703703703703704,0.7940740740740742
Deep-HDBSCAN + LwF,Deep embedding + HDBSCAN,Knowledge distillation,0.5666666666666667,0.5044444444444445,0.37666666666666665,0.6922222222222223,0.1897222222222222,0.9111111111111112,0.3776851851851852,0.7025925925925925
Deep-HDBSCAN + iCaRL,Deep embedding + HDBSCAN,Exemplar replay + prototype classifier,0.7427777777777778,0.19666666666666666,0.6711111111111111,0.29000000000000004,0.4891666666666667,0.3811111111111112,0.6343518518518518,0.28925925925925927
Deep-HDBSCAN + EEIL,Deep embedding + HDBSCAN,Replay + distillation,0.5166666666666667,0.51,0.4351851851851852,0.5277777777777778,0.2761111111111111,0.8300000000000001,0.40932098765432096,0.6225925925925927
Deep-HDBSCAN + TPCIL-style,Deep embedding + HDBSCAN,Topology-aware prototype smoothing,0.7472222222222222,0.18666666666666665,0.67,0.2944444444444445,0.4888888888888889,0.3733333333333334,0.6353703703703704,0.28481481481481485
Deep-HDBSCAN + DOI-style,Deep embedding + HDBSCAN,DOI-inspired prototype preservation/alignment,0.7544444444444445,0.1955555555555556,0.6751851851851852,0.29222222222222227,0.49277777777777776,0.3811111111111112,0.6408024691358024,0.2896296296296297
Ours (MV-ACC),SupCon deep/RF graphs + adaptive fusion + HDBSCAN,Prototype enrollment + old-class calibration,0.7972222222222223,0.14777777777777779,0.6966666666666667,0.22555555555555562,0.5608333333333333,0.32777777777777783,0.6849074074074073,0.23370370370370375
