Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Assignment Coverage,Noise Points,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Discovery Backend,Discovery Feature Adapter,DFA Smooth K,DFA Smooth Weight,DFA Repulsion Weight,DFA Known Samples,DFA Known Classes,DFA Output Dim,GPCC Backend,GPCC Target Clusters,GPCC Selected Candidate,GPCC Candidate Scores,GPCC Silhouette,GPCC Prototype Margin Mean,GPCC Silhouette Confidence Mean,GPCC Confidence Mean,GPCC Confidence Min,GPCC Cluster Stability,GPCC Cluster Size CV,GPCC Uses HDBSCAN
MV-ACC-CIL discovery,R1,Day 2,5,490,5,5,0,1.0,1.0,0,5,0.0,0.136311794835239,0.1185010086950052,0.41836734693877553,0.41836734693877553,GPCC,mn_smooth,12,0.2,0.15,840,10,128,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.49334803218583717, 'silhouette': 0.16683797538280487, 'balance': 0.7579357286264723, 'stability': 1.0, 'cluster_size_cv': 0.319373084327606}, 'kmeans_graph': {'score': 0.28689838553041874, 'silhouette': 0.10911554098129272, 'balance': 0.7294471838832645, 'stability': 0.3239816048562194, 'cluster_size_cv': 0.37090117296282954}, 'agglomerative_joint': {'score': 0.3802505623594838, 'silhouette': 0.16264374554157257, 'balance': 0.7543909850905828, 'stability': 0.5596732211740092, 'cluster_size_cv': 0.32557257412073376}}",0.16683797538280487,0.25211477279663086,0.5834189653396606,0.371282160282135,0.03460203483700752,1.0,0.319373084327606,False
MV-ACC-CIL discovery,R2,Day 3,5,490,5,5,0,1.0,1.0,0,5,0.0,0.11226763545889595,0.09029298401988313,0.3673469387755102,0.3653061224489796,GPCC,mn_smooth,12,0.2,0.15,840,10,128,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.4877540569808206, 'silhouette': 0.17115192115306854, 'balance': 0.7181025017331644, 'stability': 1.0, 'cluster_size_cv': 0.392558858361399}, 'kmeans_graph': {'score': 0.3233061537388167, 'silhouette': 0.1217760369181633, 'balance': 0.771423293148777, 'stability': 0.40817869921628597, 'cluster_size_cv': 0.29630516589436134}, 'agglomerative_joint': {'score': 0.34726305120388284, 'silhouette': 0.1610477715730667, 'balance': 0.6719242919410324, 'stability': 0.4972076738019586, 'cluster_size_cv': 0.48826290698797853}}",0.17115192115306854,0.2567886412143707,0.5855759382247925,0.3741679787635803,0.03203833848237991,1.0,0.392558858361399,False
MV-ACC-CIL discovery,R3,Day 4,5,490,5,5,0,1.0,1.0,0,5,0.0,0.293502997449512,0.2071950871863728,0.47959183673469385,0.47551020408163264,GPCC,mn_smooth,12,0.2,0.15,840,10,128,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5124449889047007, 'silhouette': 0.2043331265449524, 'balance': 0.7503088465248843, 'stability': 1.0, 'cluster_size_cv': 0.33278449885214656}, 'kmeans_graph': {'score': 0.26539196859024017, 'silhouette': 0.09322377294301987, 'balance': 0.7052712359400413, 'stability': 0.2922585851342839, 'cluster_size_cv': 0.4178942072791625}, 'agglomerative_joint': {'score': 0.4198361583424002, 'silhouette': 0.21089394390583038, 'balance': 0.665001873703268, 'stability': 0.6833764578141595, 'cluster_size_cv': 0.5037551615173527}}",0.2043331265449524,0.2933385670185089,0.602166473865509,0.4060730040073395,0.005315928719937801,1.0,0.33278449885214656,False
