Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Assignment Coverage,Noise Points,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Discovery Backend,Discovery Feature Adapter,GPCC Backend,GPCC Target Clusters,GPCC Selected Candidate,GPCC Candidate Scores,GPCC Silhouette,GPCC Prototype Margin Mean,GPCC Silhouette Confidence Mean,GPCC Confidence Mean,GPCC Confidence Min,GPCC Cluster Stability,GPCC Cluster Size CV,GPCC Uses HDBSCAN,Recording-Consensus Backend,Recording-Consensus Groups,Recording-Consensus Threshold,Recording-Consensus Accepted Groups,Recording-Consensus Changed Samples,Recording-Consensus Mean Consistency,Recording-Consensus Min Consistency
Joint discovery refinement,R1_refined,Day 2,5,980,5,5,0,1.0,1.0,0,5,0.0,0.4207801808253792,0.3633706980275394,0.5479591836734694,0.5010204081632653,Recording-Consensus-GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5399181193091968, 'silhouette': 0.22119326889514923, 'balance': 0.8413091070843233, 'stability': 1.0, 'cluster_size_cv': 0.18862376691207183}, 'kmeans_graph': {'score': 0.27005158077834374, 'silhouette': 0.1273229420185089, 'balance': 0.5983277952927724, 'stability': 0.3214336144384374, 'cluster_size_cv': 0.6713246616107519}, 'agglomerative_joint': {'score': 0.4090443901395585, 'silhouette': 0.21455620229244232, 'balance': 0.6963662062970262, 'stability': 0.60706095047724, 'cluster_size_cv': 0.4360260319316281}}",0.22119326889514923,0.3199690878391266,0.6105965971946716,0.43117862939834595,0.05149998888373375,1.0,0.18862376691207183,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,17,76,0.6846938775510203,0.32142857142857145
Joint discovery refinement,R2_refined,Day 3,5,980,5,5,0,1.0,1.0,0,5,0.0,0.3391997573830974,0.2628041167781208,0.4969387755102041,0.4969387755102041,Recording-Consensus-GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5296011930413178, 'silhouette': 0.20008821785449982, 'balance': 0.8477633661067144, 'stability': 1.0, 'cluster_size_cv': 0.17957444256222121}, 'kmeans_graph': {'score': 0.23965885520500582, 'silhouette': 0.11185582727193832, 'balance': 0.6772427590472592, 'stability': 0.1707583935839516, 'cluster_size_cv': 0.4765754031933744}, 'agglomerative_joint': {'score': 0.46624709442216894, 'silhouette': 0.1913515329360962, 'balance': 0.808961086430544, 'stability': 0.7968461360848288, 'cluster_size_cv': 0.23615340314129984}}",0.20008821785449982,0.2930636405944824,0.6000440716743469,0.4086856245994568,0.0594051256775856,1.0,0.17957444256222121,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,15,67,0.6714285714285714,0.32142857142857145
Joint discovery refinement,R3_refined,Day 4,5,980,5,5,0,1.0,1.0,0,5,0.0,0.6032063561295061,0.5321029882148673,0.6979591836734694,0.6683673469387755,Recording-Consensus-GPCC,none,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5428871626954879, 'silhouette': 0.2345903366804123, 'balance': 0.8193123876063055, 'stability': 1.0, 'cluster_size_cv': 0.22053567738868135}, 'kmeans_graph': {'score': 0.36964129001445545, 'silhouette': 0.1830766350030899, 'balance': 0.8391634426869896, 'stability': 0.40446580890143236, 'cluster_size_cv': 0.19166296949020326}, 'agglomerative_joint': {'score': 0.48823931393646164, 'silhouette': 0.22668789327144623, 'balance': 0.7710370393981505, 'stability': 0.8374142590301444, 'cluster_size_cv': 0.29695455458348863}}",0.2345903366804123,0.32482007145881653,0.6172951459884644,0.438420832157135,0.06078211963176727,1.0,0.22053567738868135,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,25,127,0.766326530612245,0.35714285714285715
