Method,Round,Cluster Count,Incremental Pseudo-label Classes,Cluster Count Error,Sample Coverage,Purity,NMI,ARI,Hungarian Acc,Overall Acc,New Acc,Forgetting Rate
MV-ACC-CIL,R1,5,5,0,1.0,0.5408163265306123,0.42130411697736364,0.3645110166669931,0.5326530612244897,0.39365079365079364,0.3523809523809524,0.1738095238095238
MV-ACC-CIL,R2,5,5,0,1.0,0.5408163265306123,0.3357246911817657,0.2828272347322067,0.5306122448979592,0.2976190476190476,0.2761904761904762,0.18333333333333335
MV-ACC-CIL,R3,5,5,0,1.0,0.7081632653061225,0.6318626066125583,0.5830974952800504,0.6959183673469388,0.25523809523809526,0.48095238095238096,0.2785714285714286
