Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Assignment Coverage,Noise Points,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Discovery Backend,Discovery Feature Adapter,Transmission Pooling Enabled,Transmission Pooling Groups,Transmission Pooling Mean Group Size,Transmission Pooling Feature Mode,GPCC Backend,GPCC Target Clusters,GPCC Selected Candidate,GPCC Candidate Scores,GPCC Silhouette,GPCC Prototype Margin Mean,GPCC Silhouette Confidence Mean,GPCC Confidence Mean,GPCC Confidence Min,GPCC Cluster Stability,GPCC Cluster Size CV,GPCC Uses HDBSCAN,Recording-Consensus Backend,Recording-Consensus Groups,Recording-Consensus Threshold,Recording-Consensus Accepted Groups,Recording-Consensus Changed Samples,Recording-Consensus Mean Consistency,Recording-Consensus Min Consistency,Cross-Day Adapter,Cross-Day Epochs,Cross-Day Batch Size,Cross-Day LR,Cross-Day Consistency Weight,Cross-Day CORAL Weight,Cross-Day Known Samples,Cross-Day Discovery Samples,Cross-Day Final Total,Cross-Day Final CE,Cross-Day Final Consistency,Cross-Day Final CORAL,LoRa SSL Adapter,LoRa SSL Epochs,LoRa SSL Batch Size,LoRa SSL LR,LoRa SSL CE Weight,LoRa SSL Instance Weight,LoRa SSL Teacher Weight,LoRa SSL Temperature,LoRa SSL Known Samples,LoRa SSL Discovery Samples,LoRa SSL Final Total,LoRa SSL Final CE,LoRa SSL Final Instance,LoRa SSL Final Teacher
MV-ACC-CIL discovery,R1,Day 2,5,980,5,5,0,1.0,1.0,0,5,0.0,0.5232196073709133,0.4197995310366152,0.6,0.6,Recording-Consensus-GPCC,none,True,35,28.0,norm_weighted_l2_attention,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5613315540839219, 'silhouette': 0.2635389566421509, 'balance': 0.8319256396536943, 'stability': 1.0, 'cluster_size_cv': 0.20203050890013446}, 'kmeans_graph': {'score': 0.28972082141443906, 'silhouette': 0.1304093301296234, 'balance': 0.7133422114778196, 'stability': 0.3013089901903289, 'cluster_size_cv': 0.4018517114363891}, 'agglomerative_joint': {'score': 0.5613315540839219, 'silhouette': 0.2635389566421509, 'balance': 0.8319256396536943, 'stability': 1.0, 'cluster_size_cv': 0.20203050890013446}}",0.2635389566421509,0.3632982671260834,0.6317694187164307,0.4761575758457184,0.3101055920124054,1.0,0.20203050890013446,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,0,0,1.0,1.0,train_consistency_coral,2,96,1e-05,0.5,0.05,1680,980,0.7513879375024275,0.738856787031347,0.0016263801477510822,0.23435922373424878,instance_contrastive_teacher_anchor,3,96,1e-05,1.0,0.5,0.2,0.2,1680,980,2.6792712450027465,0.7376609981060028,3.8826588869094847,0.0014039471512660383
MV-ACC-CIL discovery,R2,Day 3,5,980,5,5,0,1.0,1.0,0,5,0.0,0.5563895481595441,0.44013925536504367,0.6,0.6,Recording-Consensus-GPCC,none,True,35,28.0,norm_weighted_l2_attention,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5311520756844241, 'silhouette': 0.23942206799983978, 'balance': 0.7473496914225616, 'stability': 1.0, 'cluster_size_cv': 0.33806170187415857}, 'kmeans_graph': {'score': 0.2523570261901976, 'silhouette': 0.1276993453502655, 'balance': 0.7090113239345789, 'stability': 0.16128048584254315, 'cluster_size_cv': 0.4104147088238479}, 'agglomerative_joint': {'score': 0.4641186511236495, 'silhouette': 0.2335895448923111, 'balance': 0.7407807395567216, 'stability': 0.749953014086136, 'cluster_size_cv': 0.34992710609402916}}",0.23942206799983978,0.35573843121528625,0.6197110414505005,0.46492764353752136,0.1073000356554985,1.0,0.33806170187415857,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,0,0,1.0,1.0,train_consistency_coral,2,96,1e-05,0.5,0.05,1680,980,0.958408079364083,0.9492484872991388,0.000758344265209003,0.17560853605920618,instance_contrastive_teacher_anchor,3,96,1e-05,1.0,0.5,0.2,0.2,1680,980,2.620094919204712,0.9569116830825806,3.325805926322937,0.0014011880848556757
MV-ACC-CIL discovery,R3,Day 4,5,980,5,5,0,1.0,1.0,0,5,0.0,0.6159932753283327,0.5049231043817116,0.6285714285714286,0.6,Recording-Consensus-GPCC,none,True,35,28.0,norm_weighted_l2_attention,graph_prototype_controlled_clustering,5,kmeans_joint,"{'kmeans_joint': {'score': 0.5429469454969834, 'silhouette': 0.26975974440574646, 'balance': 0.7228954303691143, 'stability': 1.0, 'cluster_size_cv': 0.3833259389804065}, 'kmeans_graph': {'score': 0.20769238521820615, 'silhouette': 0.10449972003698349, 'balance': 0.6268545974210171, 'stability': 0.09938647885464727, 'cluster_size_cv': 0.5952662772422258}, 'agglomerative_joint': {'score': 0.473619865459202, 'silhouette': 0.26728683710098267, 'balance': 0.6976871547006019, 'stability': 0.7482986964541646, 'cluster_size_cv': 0.4333071682094096}}",0.26975974440574646,0.37312477827072144,0.6348798274993896,0.4838925004005432,0.26698803901672363,1.0,0.3833259389804065,False,symbol_gpcc_with_selective_recording_consensus,35,0.65,0,0,1.0,1.0,train_consistency_coral,2,96,1e-05,0.5,0.05,1680,980,1.2481800426136365,1.2437168143012307,0.0005260766854255714,0.08400395546447147,instance_contrastive_teacher_anchor,3,96,1e-05,1.0,0.5,0.2,0.2,1680,980,2.7010623455047607,1.098699003458023,3.204355573654175,0.0009281369973905384
