Round,Overall Acc,Old Acc,New Acc,Forgetting Rate,Macro F1,Main Overall Acc,Main Old Acc,Main New Acc,Main Forgetting Rate,Old Route Fraction,Protected New Fraction,Main New Prediction Fraction,Mean Old Probability,Gate Threshold,New Confidence Threshold,New Margin Threshold,Valid Old Source Recall,Valid Discovery Reject,Valid Route Fraction
R1,0.423015873015873,0.5869047619047619,0.09523809523809523,nan,0.4030754012068405,0.29523809523809524,0.39166666666666666,0.10238095238095238,nan,0.546031746031746,0.0992063492063492,0.26904761904761904,0.5507112145423889,0.3,0.4592529982328415,0.21075204014778137,0.7772108843537415,0.8197278911564626,0.5782312925170068
R2,0.3380952380952381,0.4174603174603175,0.1,0.11428571428571432,0.3087392030518329,0.27380952380952384,0.32142857142857145,0.13095238095238096,-0.06547619047619047,0.6285714285714286,0.05416666666666667,0.2863095238095238,0.6095327734947205,0.44999999999999996,0.5577242225408554,0.37234384566545486,0.7936507936507936,0.8333333333333334,0.6369047619047619
R3,0.3138095238095238,0.3119047619047619,0.32142857142857145,0.19047619047619052,0.28925529297463437,0.25761904761904764,0.2386904761904762,0.3333333333333333,0.0357142857142857,0.5452380952380952,0.29714285714285715,0.38857142857142857,0.5367916226387024,0.4,0.38042646646499634,0.12190985679626465,0.7380952380952381,0.7482993197278912,0.6408163265306123
