Method,Round,Cluster Count,Incremental Pseudo-label Classes,Cluster Count Error,Sample Coverage,Purity,NMI,ARI,Hungarian Acc,Overall Acc,New Acc,Forgetting Rate
MV-ACC-CIL,R1,5,5,0,1.0,0.5683673469387756,0.4679061754305957,0.40574734467530715,0.5438775510204081,0.32222222222222224,0.17142857142857143,0.2
MV-ACC-CIL,R2,5,5,0,1.0,0.45102040816326533,0.2881953850221272,0.22022751101556473,0.45102040816326533,0.32083333333333336,0.25476190476190474,0.10714285714285715
MV-ACC-CIL,R3,5,5,0,1.0,0.6561224489795918,0.5237346535938403,0.46612537186031966,0.6510204081632653,0.27285714285714285,0.4,0.23928571428571427
